object_id,ra,dec,redshift,epoch_1,epoch_2,spectral_state_1,spectral_state_2,label_source,label_method,confidence,bucket,stratum
SDSSJ012256.19-000252.68,20.73413,-0.04798,0.3409999907016754,51817.0,58113.0,D,B,2022ApJ...933..180G,spectroscopic,gold,5,development
SDSSJ074511.98+380911.3,116.29994,38.15314,0.2370000034570694,51873.0,58081.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,5,development
SDSSJ081319.34+460849.5,123.33056,46.147156,0.05370571,51877.0,56331.0,spec_epoch1,spec_epoch2,2024ApJS..272...13S,spectroscopic,gold,5,development
SDSSJ082942.66+415436.8,127.42778,41.910244,0.12638536,52266.0,54524.0,spec_epoch1,spec_epoch2,2024ApJS..272...13S,spectroscopic,gold,4,development
SDSSJ090258.39+252915.15,135.74328,25.48757,0.2639999985694885,53401.0,58133.0,B,D,2022ApJ...933..180G,spectroscopic,gold,3,development
SDSSJ102152.34+464515.6,155.46813,46.75436,0.2039999961853027,52614.0,56769.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,3,development
SDSSJ105058.42+241351.18,162.74344,24.23087,0.270000010728836,54068.0,58138.0,B,D,2022ApJ...933..180G,spectroscopic,gold,1,development
SDSSJ105325.40+302419.34,163.35585,30.40536,0.248999997973442,53463.0,58141.0,B,D,2022ApJ...933..180G,spectroscopic,gold,2,development
SDSSJ114408.90+424357.5,176.03712,42.732643,0.27236447,53062.0,57732.0,spec_epoch1,spec_epoch2,2024ApJS..272...13S,spectroscopic,gold,5,development
SDSSJ120442.10+275411.8,181.17545,27.903284,0.16459495,53819.0,56337.0,spec_epoch1,spec_epoch2,2024ApJS..272...13S,spectroscopic,gold,5,development
SDSSJ123359.12+084211.5,188.49637,8.70323,0.2549999952316284,53474.0,57539.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,3,development
SDSSJ141213.61+021202.1,213.05675,2.2006,0.2949999868869781,51993.0,57818.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,2,development
SDSSJ153612.80+034245.7,234.05335,3.71272,0.3650000095367431,52026.0,57835.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,0,development
SDSSJ161711.42+063833.4,244.2976,6.64262,0.2290000021457672,53501.0,57596.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,3,development
SDSSJ210200.42+000501.8,315.50177,0.08385,0.3289999961853027,52431.0,57989.0,spec_epoch1,spec_epoch2,2019ApJ...874....8M,spectroscopic,gold,4,development
SDSSJ222132.41-010928.70,335.38507,-1.15797,0.2879999876022339,52140.0,58013.0,D,B,2022ApJ...933..180G,spectroscopic,gold,2,development
SDSSJ233602.98+001728.7,354.01245,0.2913413,0.24282964,51783.0,55449.0,spec_epoch1,spec_epoch2,2024ApJS..272...13S,spectroscopic,gold,5,development
