object,source_family,publication,event,endpoint_1_role,endpoint_1_mjd,endpoint_1_identifier,endpoint_2_role,endpoint_2_mjd,endpoint_2_identifier,evidence_basis,public_retrieval,hbeta_coverage,expected_acquisition_mb,status
J000253.52+210109.9,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,56957,SDSS:7595-56957-106;specObjID=8551239046248290304;run2d=v5_13_2,faint,57360,LAMOST_DR11:obsid=385904049;planid=EG000325N203955M01;spid=4;fiberid=49;LMJD=57360,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J083826.50+371906.7,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_on,faint,52320,SDSS:864-52320-335;specObjID=972869642534021120;run2d=26,bright,59200,LAMOST_DR11:obsid=868213035;planid=HD082602N365857M02;spid=13;fiberid=35;LMJD=59200,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J084016.42+220624.6,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53360,SDSS:2084-53360-174;specObjID=2346423290987309056;run2d=26,faint,58136,LAMOST_DR11:obsid=631716196;planid=HD084620N203659M02;spid=16;fiberid=196;LMJD=58136,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J095536.70+103752.4,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_on,faint,52996,SDSS:1306-52996-614;specObjID=1470594103635896320;run2d=26,bright,59200,LAMOST_DR11:obsid=868303023;planid=HD095839N105737M02;spid=3;fiberid=23;LMJD=59200,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J101403.44+193609.1,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53765,SDSS:2374-53765-268;specObjID=2672960109289695232;run2d=26,faint,57477,LAMOST_DR11:obsid=448401085;planid=HD101311N212511M01;spid=1;fiberid=85;LMJD=57477,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J101417.87+351106.8,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53357,SDSS:1954-53357-246;specObjID=2200076094256736256;run2d=26,faint,58897,LAMOST_DR11:obsid=803408203;planid=HD101055N362805M02;spid=8;fiberid=203;LMJD=58897,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J102822.85+235125.8,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53734,SDSS:2349-53734-60;specObjID=2644755436493891584;run2d=26,faint,57103,LAMOST_DR11:obsid=336105178;planid=HD103157N244323M01;spid=5;fiberid=178;LMJD=57103,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J103844.05+390804.0,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53003,SDSS:1432-53003-128;specObjID=1612323901352732672;run2d=26,faint,58926,LAMOST_DR11:obsid=811406074;planid=HD102602N391601M02;spid=6;fiberid=74;LMJD=58926,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J104043.38+273518.9,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53797,SDSS:2358-53797-310;specObjID=2654957256189175808;run2d=26,faint,56685,LAMOST_DR11:obsid=212710116;planid=HD104953N275826M01;spid=10;fiberid=116;LMJD=56685,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J104111.56+555142.4,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,52368,SDSS:906-52368-380;specObjID=1020169808932530176;run2d=26,faint,57870,LAMOST_DR11:obsid=565905226;planid=HD104559N565515M02;spid=5;fiberid=226;LMJD=57870,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
J104427.75+271806.3,Dong2025_SDSS_LAMOST,Dong_et_al_2025_ApJ_986_160,turn_off,bright,53786,SDSS:2356-53786-25;specObjID=2652627115987462144;run2d=26,faint,58133,LAMOST_DR11:obsid=630703244;planid=HD104953N275826M02;spid=3;fiberid=244;LMJD=58133,"final visual broad-Hbeta appearance/disappearance; Hbeta,Halpha; broad-Halpha or significant photometric corroboration required by source",YES_SDSS_DR19_AND_LAMOST_DR11,YES,~0.8-1.5 SDSS + ~0.2-0.6 LAMOST,ACQUIRE_VALIDATE_ONLY
