transition_id,object_id,reference_tier,source_family,arm,snr,N_both_classifiable,N_disagree,N_YANG_CL_GREEN_NONCL,N_YANG_NONCL_GREEN_CL,N_agree,disagreement_i
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,39,19,1,18,20,0.48717948717948717
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,43,41,0,41,2,0.9534883720930233
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,34,12,12,0,22,0.35294117647058826
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,41,20,11,9,21,0.4878048780487805
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,9,6,4,2,3,0.6666666666666666
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,8,5,0,5,3,0.625
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,7,3,3,0,4,0.42857142857142855
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,8,3,2,1,5,0.375
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,32,8,2,6,24,0.25
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,31,16,0,16,15,0.5161290322580645
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,5,27,4,4,0,23,0.14814814814814814
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,10,25,2,1,1,23,0.08
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,5,1,1,0,1,0,1.0
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,10,4,2,0,2,2,0.5
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,27,11,1,10,16,0.4074074074074074
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,25,24,0,24,1,0.96
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,5,23,2,2,0,21,0.08695652173913043
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,10,20,14,1,13,6,0.7
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,31,25,0,25,6,0.8064516129032258
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,29,10,0,10,19,0.3448275862068966
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,5,13,0,0,0,13,0.0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,10,6,1,0,1,5,0.16666666666666666
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,5,8,0,0,0,8,0.0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,10,4,1,1,0,3,0.25
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,5,3,2,2,0,1,0.6666666666666666
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,10,3,3,3,0,0,1.0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,5,2,1,1,0,1,0.5
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,10,1,1,1,0,0,1.0
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,47,13,13,0,34,0.2765957446808511
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,47,12,12,0,35,0.2553191489361702
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,10,9,1,8,1,0.9
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,9,2,2,0,7,0.2222222222222222
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,20,2,2,0,18,0.1
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,18,2,2,0,16,0.1111111111111111
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,32,0,0,0,32,0.0
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,22,21,21,0,1,0.9545454545454546
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,22,3,3,0,19,0.13636363636363635
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,matched,10,25,14,0,14,11,0.56
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,17,6,6,0,11,0.35294117647058826
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,matched,10,19,6,6,0,13,0.3157894736842105
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,matched,5,19,1,1,0,18,0.05263157894736842
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,matched,10,21,4,2,2,17,0.19047619047619047
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,25,9,9,0,16,0.36
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,36,21,3,18,15,0.5833333333333334
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,18,4,4,0,14,0.2222222222222222
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,matched,10,32,9,5,4,23,0.28125
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,26,20,0,20,6,0.7692307692307693
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,23,5,2,3,18,0.21739130434782608
J114634.92+282642.0,J114634.92+282642.0,GOLD,Dong2025_SDSS_LAMOST,matched,5,16,5,1,4,11,0.3125
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,49,49,49,0,0,1.0
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,40,11,11,0,29,0.275
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,43,36,36,0,7,0.8372093023255814
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,matched,10,31,20,19,1,11,0.6451612903225806
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,faint_only,5,2,1,1,0,1,0.5
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,faint_only,10,12,10,10,0,2,0.8333333333333334
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,matched,5,2,1,1,0,1,0.5
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,24,16,16,0,8,0.6666666666666666
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,matched,10,39,9,9,0,30,0.23076923076923078
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,29,8,8,0,21,0.27586206896551724
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,25,1,1,0,24,0.04
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,matched,5,17,5,5,0,12,0.29411764705882354
J131432.70+122718.5,J131432.70+122718.5,GOLD,Dong2025_SDSS_LAMOST,matched,10,6,0,0,0,6,0.0
J132421.98+280238.3,J132421.98+280238.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,48,23,23,0,25,0.4791666666666667
J132421.98+280238.3,J132421.98+280238.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,43,20,20,0,23,0.46511627906976744
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,32,10,7,3,22,0.3125
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,31,28,0,28,3,0.9032258064516129
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,29,7,7,0,22,0.2413793103448276
J133551.98+544450.1,J133551.98+544450.1,GOLD,Dong2025_SDSS_LAMOST,matched,10,28,15,3,12,13,0.5357142857142857
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,20,6,2,4,14,0.3
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,22,21,0,21,1,0.9545454545454546
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,18,4,4,0,14,0.2222222222222222
J135255.68+252859.6,J135255.68+252859.6,GOLD,Dong2025_SDSS_LAMOST,matched,10,22,17,0,17,5,0.7727272727272727
J140207.59+284859.3,J140207.59+284859.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,5,2,2,0,3,0.4
J140207.59+284859.3,J140207.59+284859.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,5,2,2,0,3,0.4
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,matched,5,4,4,4,0,0,1.0
J140515.59+542458.0,J140515.59+542458.0,GOLD,Zeltyn2024_SDSSV,matched,10,5,5,5,0,0,1.0
J150026.17+374732.4,J150026.17+374732.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,13,7,7,0,6,0.5384615384615384
J150026.17+374732.4,J150026.17+374732.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,12,5,5,0,7,0.4166666666666667
J152904.77+024640.4,J152904.77+024640.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,12,3,3,0,9,0.25
J160157.53+490207.8,J160157.53+490207.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,8,0,0,0,8,0.0
J160157.53+490207.8,J160157.53+490207.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,8,6,5,1,2,0.75
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,faint_only,5,13,0,0,0,13,0.0
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,faint_only,10,25,0,0,0,25,0.0
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,matched,5,11,3,1,2,8,0.2727272727272727
SDSSJ000236.25-002724.8,SDSSJ000236.25-002724.8,GOLD,Potts2021,matched,10,20,0,0,0,20,0.0
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,faint_only,5,21,6,6,0,15,0.2857142857142857
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,faint_only,10,13,10,2,8,3,0.7692307692307693
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,matched,5,17,5,5,0,12,0.29411764705882354
SDSSJ012256.19-000252.68,SDSSJ012256.19-000252.68,SILVER,MacLeod2016,matched,10,7,4,1,3,3,0.5714285714285714
SDSSJ012648.08-083948.0,SDSSJ012648.08-083948.0,GOLD,Ruan2016,matched,5,8,6,6,0,2,0.75
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,faint_only,5,22,18,18,0,4,0.8181818181818182
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,faint_only,10,20,16,16,0,4,0.8
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,matched,5,19,14,14,0,5,0.7368421052631579
SDSSJ021359.79+004226.81,SDSSJ021359.79+004226.81,GOLD,Green2022,matched,10,18,15,15,0,3,0.8333333333333334
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,faint_only,5,36,1,1,0,35,0.027777777777777776
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,faint_only,10,41,0,0,0,41,0.0
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,matched,5,23,2,2,0,21,0.08695652173913043
SDSSJ081319.34+460849.5,SDSSJ081319.34+460849.5,SILVER,Yang2018,matched,10,38,0,0,0,38,0.0
SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,GOLD,Potts2021,matched,5,43,1,1,0,42,0.023255813953488372
SDSSJ082942.66+415436.8,SDSSJ082942.66+415436.8,GOLD,Potts2021,matched,10,34,8,0,8,26,0.23529411764705882
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,faint_only,5,10,1,0,1,9,0.1
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,faint_only,10,6,0,0,0,6,0.0
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,matched,5,9,1,0,1,8,0.1111111111111111
SDSSJ101152.98+544206.4,SDSSJ101152.98+544206.4,GOLD,Runnoe2016,matched,10,6,0,0,0,6,0.0
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,faint_only,5,18,1,0,1,17,0.05555555555555555
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,faint_only,10,20,1,0,1,19,0.05
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,matched,5,15,12,11,1,3,0.8
SDSSJ102152.34+464515.6,SDSSJ102152.34+464515.6,GOLD,MacLeod2016,matched,10,15,1,0,1,14,0.06666666666666667
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,faint_only,5,42,38,0,38,4,0.9047619047619048
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,faint_only,10,42,42,0,42,0,1.0
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,matched,5,27,4,3,1,23,0.14814814814814814
SDSSJ105058.42+241351.18,SDSSJ105058.42+241351.18,SILVER,Green2022,matched,10,35,35,0,35,0,1.0
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,faint_only,5,20,15,0,15,5,0.75
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,faint_only,10,19,19,0,19,0,1.0
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,matched,5,18,2,1,1,16,0.1111111111111111
SDSSJ105325.40+302419.34,SDSSJ105325.40+302419.34,GOLD,Green2022,matched,10,18,18,0,18,0,1.0
SDSSJ135855.83+493414.2,SDSSJ135855.83+493414.2,GOLD,Potts2021,matched,5,6,3,3,0,3,0.5
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,faint_only,5,27,6,0,6,21,0.2222222222222222
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,faint_only,10,21,19,0,19,2,0.9047619047619048
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,matched,5,16,2,0,2,14,0.125
SDSSJ222132.41-010928.70,SDSSJ222132.41-010928.70,SILVER,MacLeod2016,matched,10,13,1,0,1,12,0.07692307692307693
SDSSJ233602.98+001728.7,SDSSJ233602.98+001728.7,GOLD,Ruan2016,faint_only,5,10,8,8,0,2,0.8
SDSSJ233602.98+001728.7,SDSSJ233602.98+001728.7,GOLD,Ruan2016,matched,5,7,3,3,0,4,0.42857142857142855
