transition_id,source_publication,source_family,transition_direction,reference_evidence,reference_tier,q1_technical_eligibility,exclusion_reason,instrument_pair,redshift,bright_endpoint_identifier,faint_endpoint_identifier,bright_variance_provenance,faint_variance_provenance
J075934.95+322143.3,Zeltyn et al. (2024),Zeltyn2024_SDSSV,turn_on,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,GOLD,ELIGIBLE,,SDSSV_DR19/SDSS_LEGACY,0.2688800990581512,SDSSV_DR19:sdss_id=57596704;field=15023;mjd=59167;catalogid=4554716669;run2d=v6_1_3,SDSS:890-52583-634;specObjID=1002225233018513408;run2d=26,NATIVE_SDSSV_SUPPORTED,NATIVE_SDSS_SUPPORTED
J080133.29+341737.6,Zeltyn et al. (2024),Zeltyn2024_SDSSV,turn_off,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,GOLD,ELIGIBLE,,SDSS_LEGACY/SDSSV_DR19,0.3379819095134735,SDSS:891-52584-472;specObjID=1003306602721208320;run2d=26,SDSSV_DR19:sdss_id=57821615;field=15022;mjd=59165;catalogid=4555221243;run2d=v6_1_3,NATIVE_SDSS_SUPPORTED,NATIVE_SDSSV_SUPPORTED
J080711.72+194439.7,Zeltyn et al. (2024),Zeltyn2024_SDSSV,turn_off,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,GOLD,ELIGIBLE,,SDSS_LEGACY/SDSSV_DR19,0.3477453291416168,SDSS:1922-53315-628;specObjID=2164152299893581824;run2d=26,SDSSV_DR19:sdss_id=56350768;field=15052;mjd=59229;catalogid=4546222689;run2d=v6_1_3,NATIVE_SDSS_SUPPORTED,NATIVE_SDSSV_SUPPORTED
J083716.47+035606.1,Zeltyn et al. (2024),Zeltyn2024_SDSSV,turn_on,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,GOLD,ELIGIBLE,,SDSSV_DR19/SDSS_LEGACY,0.0634824410080909,SDSSV_DR19:sdss_id=74372765;field=15257;mjd=59288;catalogid=4545083597;run2d=v6_1_3,SDSS:1186-52646-60;specObjID=1335333826582308864;run2d=26,NATIVE_SDSSV_SUPPORTED,NATIVE_SDSS_SUPPORTED
J083826.50+371906.7,Dong et al. (2025),Dong2025_SDSS_LAMOST,turn_on,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,GOLD,ELIGIBLE,,LAMOST_DR11/SDSS_LEGACY,0.211050808429718,LAMOST_DR11:obsid=868213035;planid=HD082602N365857M02;spid=13;fiberid=35;LMJD=59200,SDSS:864-52320-335;specObjID=972869642534021120;run2d=26,NATIVE_LAMOST_SUPPORTED,NATIVE_SDSS_SUPPORTED
J084016.42+220624.6,Dong et al. (2025),Dong2025_SDSS_LAMOST,turn_off,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,GOLD,ELIGIBLE,,SDSS_LEGACY/LAMOST_DR11,0.2043730616569519,SDSS:2084-53360-174;specObjID=2346423290987309056;run2d=26,LAMOST_DR11:obsid=631716196;planid=HD084620N203659M02;spid=16;fiberid=196;LMJD=58136,NATIVE_SDSS_SUPPORTED,NATIVE_LAMOST_SUPPORTED
J085512.13+032950.6,Zeltyn et al. (2024),Zeltyn2024_SDSSV,turn_off,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,GOLD,ELIGIBLE,,SDSS_LEGACY/SDSSV_DR19,0.124045617878437,SDSS:565-52225-466;specObjID=636261577800050688;run2d=26,SDSSV_DR19:sdss_id=55773348;field=15260;mjd=59304;catalogid=4545238496;run2d=v6_1_3,NATIVE_SDSS_SUPPORTED,NATIVE_SDSSV_SUPPORTED
J092313.53+043445.0,Zeltyn et al. (2024),Zeltyn2024_SDSSV,turn_on,published endpoint spectra show broad-Hbeta appearance/disappearance; final visual CLAGN designation; independent follow-up and/or optical+WISE corroboration,GOLD,ELIGIBLE,,SDSSV_DR19/SDSS_LEGACY,0.6568198800086975,SDSSV_DR19:sdss_id=80017098;field=15265;mjd=59292;catalogid=4592693075;run2d=v6_1_3,SDSS:991-52707-85;specObjID=1115790217719080960;run2d=26,NATIVE_SDSSV_SUPPORTED,NATIVE_SDSS_SUPPORTED
J095536.70+103752.4,Dong et al. (2025),Dong2025_SDSS_LAMOST,turn_on,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,GOLD,ELIGIBLE,,LAMOST_DR11/SDSS_LEGACY,0.2843591868877411,LAMOST_DR11:obsid=868303023;planid=HD095839N105737M02;spid=3;fiberid=23;LMJD=59200,SDSS:1306-52996-614;specObjID=1470594103635896320;run2d=26,NATIVE_LAMOST_SUPPORTED,NATIVE_SDSS_SUPPORTED
J1000+0354,Yang et al. (2025),Yang2025_turn_on,turn_on,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,GOLD,ELIGIBLE,,DESI_EDR/SDSS_LEGACY,0.2154336124658584,DESI_EDR:TARGETID=39627883852858304;zpix_id=158456325120802023439488517056;survey=sv3;program=bright;healpix=27345,SDSS:572-52289-171;specObjID=644061789239142400,NATIVE_DESI_EDR_SUPPORTED,NATIVE_SDSS_SUPPORTED
J1003+0202,Yang et al. (2025),Yang2025_turn_on,turn_on,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,GOLD,ELIGIBLE,,LAMOST_DR11/SDSS_LEGACY,0.1246964707970619,LAMOST_DR11:obsid=714905145;planid=HD100408N031203M02;spid=5;fiberid=145;LMJD=58495,SDSS:501-52235-197;specObjID=564130041772926976,NATIVE_LAMOST_SUPPORTED,NATIVE_SDSS_SUPPORTED
J1003+0458,Yang et al. (2025),Yang2025_turn_on,turn_on,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,GOLD,ELIGIBLE,,LAMOST_DR11/SDSS_LEGACY,0.1237488389015197,LAMOST_DR11:obsid=714911087;planid=HD100408N031203M02;spid=11;fiberid=87;LMJD=58495,SDSS:573-52325-330;specObjID=645231395337168896,NATIVE_LAMOST_SUPPORTED,NATIVE_SDSS_SUPPORTED
J1009+3539,Yang et al. (2025),Yang2025_turn_on,turn_on,published endpoint spectra and line table show absent faint broad Hbeta and emerged bright broad Hbeta; continuum variability; multiline support where available,GOLD,ELIGIBLE,,LAMOST_DR11/SDSS_LEGACY,0.1100797057151794,LAMOST_DR11:obsid=803405162;planid=HD101055N362805M02;spid=5;fiberid=162;LMJD=58897,SDSS:1951-53389-517;specObjID=2196772886985861120,NATIVE_LAMOST_SUPPORTED,NATIVE_SDSS_SUPPORTED
J101403.44+193609.1,Dong et al. (2025),Dong2025_SDSS_LAMOST,turn_off,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,GOLD,ELIGIBLE,,SDSS_LEGACY/LAMOST_DR11,0.1149428933858871,SDSS:2374-53765-268;specObjID=2672960109289695232;run2d=26,LAMOST_DR11:obsid=448401085;planid=HD101311N212511M01;spid=1;fiberid=85;LMJD=57477,NATIVE_SDSS_SUPPORTED,NATIVE_LAMOST_SUPPORTED
J101417.87+351106.8,Dong et al. (2025),Dong2025_SDSS_LAMOST,turn_off,final visual broad-Hbeta appearance/disappearance; Hbeta; broad-Halpha or significant photometric corroboration required by source,GOLD,ELIGIBLE,,SDSS_LEGACY/LAMOST_DR11,0.4151415228843689,SDSS:1954-53357-246;specObjID=2200076094256736256;run2d=26,LAMOST_DR11:obsid=803408203;planid=HD101055N362805M02;spid=8;fiberid=203;LMJD=58897,NATIVE_SDSS_SUPPORTED,NATIVE_LAMOST_SUPPORTED
