object_id,paper3_reference_tier,pair_eligibility,yang_flux_ratio,macleod2019_final,green2022_final,guo_quick_screen,guo_final_protocol,potts_villforth
SDSSJ012256.19-000252.68,SILVER,SPECTRUM_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SEARCH_STAGE_DIAGNOSTIC_ONLY,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_DIAGNOSTIC_ONLY
SDSSJ074511.98+380911.3,SILVER,OUT_OF_DOMAIN,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR
SDSSJ081319.34+460849.5,SILVER,SPECTRUM_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SEARCH_STAGE_DIAGNOSTIC_ONLY,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_DIAGNOSTIC_ONLY
SDSSJ082942.66+415436.8,GOLD,PAIR_CONSISTENT_ELIGIBLE,UNCLASSIFIABLE_CURRENT_J082_SUPPORT_POLICY,UNCLASSIFIABLE_VARIANCE_AND_VISUAL_UNAVAILABLE,UNCLASSIFIABLE_T2B_VARIANCE,SEARCH_STAGE_UNCLASSIFIABLE_T2B_VARIANCE,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_UNCLASSIFIABLE_UNREPRODUCIBLE_PROTOCOL
SDSSJ090258.39+252915.15,BORDERLINE,SPECTRUM_DIAGNOSTIC_ONLY,BORDERLINE_NOT_GROUND_TRUTH,BORDERLINE_NOT_GROUND_TRUTH,BORDERLINE_NOT_GROUND_TRUTH,SEARCH_STAGE_BORDERLINE_ONLY,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_BORDERLINE_ONLY
SDSSJ102152.34+464515.6,GOLD,SPECTRUM_DIAGNOSTIC_ONLY,Q2_EXCLUDED_APERTURE_MISMATCH,Q2_EXCLUDED_APERTURE_MISMATCH,Q2_EXCLUDED_APERTURE_MISMATCH,SEARCH_STAGE_Q2_EXCLUDED_APERTURE_MISMATCH,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_Q2_EXCLUDED_APERTURE_MISMATCH
SDSSJ105058.42+241351.18,SILVER,SPECTRUM_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SENSITIVITY_DIAGNOSTIC_ONLY,SEARCH_STAGE_DIAGNOSTIC_ONLY,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_DIAGNOSTIC_ONLY
SDSSJ105325.40+302419.34,GOLD,SPECTRUM_DIAGNOSTIC_ONLY,Q2_EXCLUDED_APERTURE_MISMATCH,Q2_EXCLUDED_APERTURE_MISMATCH,Q2_EXCLUDED_APERTURE_MISMATCH,SEARCH_STAGE_Q2_EXCLUDED_APERTURE_MISMATCH,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_Q2_EXCLUDED_APERTURE_MISMATCH
SDSSJ114408.90+424357.5,BORDERLINE,SPECTRUM_DIAGNOSTIC_ONLY,BORDERLINE_NOT_GROUND_TRUTH,BORDERLINE_NOT_GROUND_TRUTH,BORDERLINE_NOT_GROUND_TRUTH,SEARCH_STAGE_BORDERLINE_ONLY,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_BORDERLINE_ONLY
SDSSJ120442.10+275411.8,BORDERLINE,SPECTRUM_DIAGNOSTIC_ONLY,BORDERLINE_NOT_GROUND_TRUTH,BORDERLINE_NOT_GROUND_TRUTH,BORDERLINE_NOT_GROUND_TRUTH,SEARCH_STAGE_BORDERLINE_ONLY,NON_DENOMINATOR_VISUAL_PROTOCOL_UNAVAILABLE,SEARCH_STAGE_BORDERLINE_ONLY
