condition_id,semantics,anchor_epoch,host_shape_id,requested_f_added_star_anchor,requested_added_star_to_baseline_ratio_anchor,normalization_window_rest_angstrom,losvd_km_s,fixed_continuum_snr,no_new_noise,shared_absolute_amplitude_across_pair,report_H_separately,host_shape_weight,average_across_H,pair_roster_status,spectra_generated,execution_authorized
Q2C000,PAIR_CONSISTENT,faint,NONE,0.0,0.0,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C101,PAIR_CONSISTENT,faint,XSL_H1,0.1,0.11111111111111112,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C102,PAIR_CONSISTENT,faint,XSL_H2,0.1,0.11111111111111112,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C103,PAIR_CONSISTENT,faint,XSL_H3,0.1,0.11111111111111112,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C501,PAIR_CONSISTENT,faint,XSL_H1,0.5,1.0,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C502,PAIR_CONSISTENT,faint,XSL_H2,0.5,1.0,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C503,PAIR_CONSISTENT,faint,XSL_H3,0.5,1.0,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C851,PAIR_CONSISTENT,faint,XSL_H1,0.85,5.666666666666666,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C852,PAIR_CONSISTENT,faint,XSL_H2,0.85,5.666666666666666,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
Q2C853,PAIR_CONSISTENT,faint,XSL_H3,0.85,5.666666666666666,5080-5130,150,True,True,True,True,,False,DEFERRED_UNTIL_FULL_ELIGIBLE_PAIR_ROSTER_LOCKED,False,False
