cell_id,pilot_arm_id,template_id,requested_f_added_star,criterion,support_status,label,statistic,threshold,reason
HC001,DIAG_J233_FAINT,NONE,0.0,yang_2024_flux_ratio,SOURCE_RULE_FROZEN_D020_D021,CL,0.0,0.3,Yang faint non-detection=0 protocol
HC001,DIAG_J233_FAINT,NONE,0.0,guo_quick_screen,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,"source rule named, but exact pilot max-flux implementation is not frozen"
HC001,DIAG_J233_FAINT,NONE,0.0,macleod_green,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,exact source implementation not yet frozen
HC001,DIAG_J233_FAINT,NONE,0.0,potts_villforth,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,exact source implementation not yet frozen
HC002,DIAG_J233_FAINT,XSL_H1,0.1,yang_2024_flux_ratio,SOURCE_RULE_FROZEN_D020_D021,CL,0.0,0.3,Yang faint non-detection=0 protocol
HC002,DIAG_J233_FAINT,XSL_H1,0.1,guo_quick_screen,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,"source rule named, but exact pilot max-flux implementation is not frozen"
HC002,DIAG_J233_FAINT,XSL_H1,0.1,macleod_green,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,exact source implementation not yet frozen
HC002,DIAG_J233_FAINT,XSL_H1,0.1,potts_villforth,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,exact source implementation not yet frozen
HC003,DIAG_J233_FAINT,XSL_H2,0.1,yang_2024_flux_ratio,SOURCE_RULE_FROZEN_D020_D021,CL,0.0,0.3,Yang faint non-detection=0 protocol
HC003,DIAG_J233_FAINT,XSL_H2,0.1,guo_quick_screen,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,"source rule named, but exact pilot max-flux implementation is not frozen"
HC003,DIAG_J233_FAINT,XSL_H2,0.1,macleod_green,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,exact source implementation not yet frozen
HC003,DIAG_J233_FAINT,XSL_H2,0.1,potts_villforth,DEPENDENCY_NOT_YET_DEFINABLE,unclassifiable,,,exact source implementation not yet frozen
HC004,DIAG_J233_FAINT,XSL_H3,0.1,yang_2024_flux_ratio,SOURCE_RULE_FROZEN_D020_D021,CL,0.0,0.3,Yang faint non-detection=0 protocol
