transition_id,physical_role,source_family,discovery_method,instrument_survey,immutable_source_identifier,observation_epoch_declared,local_filename,byte_size,sha256,source_url,acquisition_status,processing_version
J000253.52+210109.9,bright,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,SDSS_LEGACY,SDSS:7595-56957-106;specObjID=8551239046248290304;run2d=v5_13_2,56957,03_spectra/raw_q1_d093/sdss_legacy/J000253.52+210109.9__bright__spec-7595-56957-0106.fits,218880,02f96ad2ab81e1fe37778e7e0c23a326c4376da8285a459c79537a4e90f2a82d,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/lite/7595/spec-7595-56957-0106.fits,PRESENT_CHECKSUM_REUSED,p3sf-d093
J000253.52+210109.9,faint,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,LAMOST_DR11,LAMOST_DR11:obsid=385904049;planid=EG000325N203955M01;spid=4;fiberid=49;LMJD=57360,57360,03_spectra/raw_q1_d093/lamost_dr11/J000253.52+210109.9__faint__lamost-dr11-385904049.fits,109440,4b1424333741def35de34ca8119fd71a58dff014aead17eafe4837361e68370b,https://www.lamost.org/dr11/v2.0/spectrum/fits/385904049,PRESENT_CHECKSUM_REUSED,p3sf-d093
J083826.50+371906.7,faint,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,SDSS_LEGACY,SDSS:864-52320-335;specObjID=972869642534021120;run2d=26,52320,03_spectra/raw_q1_d093/sdss_legacy/J083826.50+371906.7__faint__spec-0864-52320-0335.fits,172800,f735302be6feac6462b25b9c5dfe689c98ad4ac9427aad438d67f8f2f1d4ba0e,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/0864/spec-0864-52320-0335.fits,PRESENT_CHECKSUM_REUSED,p3sf-d093
J083826.50+371906.7,bright,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,LAMOST_DR11,LAMOST_DR11:obsid=868213035;planid=HD082602N365857M02;spid=13;fiberid=35;LMJD=59200,59200,03_spectra/raw_q1_d093/lamost_dr11/J083826.50+371906.7__bright__lamost-dr11-868213035.fits,109440,910c2f931b0edf617f403a34cbd91627e231dff22305275ffb21f990e23a36bc,https://www.lamost.org/dr11/v2.0/spectrum/fits/868213035,PRESENT_CHECKSUM_REUSED,p3sf-d093
J084016.42+220624.6,bright,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,SDSS_LEGACY,SDSS:2084-53360-174;specObjID=2346423290987309056;run2d=26,53360,03_spectra/raw_q1_d093/sdss_legacy/J084016.42+220624.6__bright__spec-2084-53360-0174.fits,172800,a7538f09db8dc87d787710f07016e9567a69820149e3596cbaeb4b709614150a,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/2084/spec-2084-53360-0174.fits,PRESENT_CHECKSUM_REUSED,p3sf-d093
J084016.42+220624.6,faint,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,LAMOST_DR11,LAMOST_DR11:obsid=631716196;planid=HD084620N203659M02;spid=16;fiberid=196;LMJD=58136,58136,03_spectra/raw_q1_d093/lamost_dr11/J084016.42+220624.6__faint__lamost-dr11-631716196.fits,109440,7c263f0f6b9eabe1186962e4967e9f543366f45327868070e6ba33fdafb75c1b,https://www.lamost.org/dr11/v2.0/spectrum/fits/631716196,PRESENT_CHECKSUM_REUSED,p3sf-d093
J095536.70+103752.4,faint,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,SDSS_LEGACY,SDSS:1306-52996-614;specObjID=1470594103635896320;run2d=26,52996,03_spectra/raw_q1_d093/sdss_legacy/J095536.70+103752.4__faint__spec-1306-52996-0614.fits,172800,0b6f4df5cfae529eef53abe3dedf1423fe7e012f5711fc8b4ba19c8364f9890b,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/1306/spec-1306-52996-0614.fits,PRESENT_CHECKSUM_REUSED,p3sf-d093
J095536.70+103752.4,bright,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,LAMOST_DR11,LAMOST_DR11:obsid=868303023;planid=HD095839N105737M02;spid=3;fiberid=23;LMJD=59200,59200,03_spectra/raw_q1_d093/lamost_dr11/J095536.70+103752.4__bright__lamost-dr11-868303023.fits,109440,43169fad7f99e749ebe478b7ad98eba10222381ddf332b16898db31047c06cb8,https://www.lamost.org/dr11/v2.0/spectrum/fits/868303023,PRESENT_CHECKSUM_REUSED,p3sf-d093
J101403.44+193609.1,bright,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,SDSS_LEGACY,SDSS:2374-53765-268;specObjID=2672960109289695232;run2d=26,53765,03_spectra/raw_q1_d093/sdss_legacy/J101403.44+193609.1__bright__spec-2374-53765-0268.fits,172800,9f93660a42452ac728af4d46b5898fa3fd308b0f1f24d945c8cb592591984413,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/lite/2374/spec-2374-53765-0268.fits,PRESENT_CHECKSUM_REUSED,p3sf-d093
J101403.44+193609.1,faint,Dong2025_SDSS_LAMOST,automated spectral preselection plus visual and photometric confirmation,LAMOST_DR11,LAMOST_DR11:obsid=448401085;planid=HD101311N212511M01;spid=1;fiberid=85;LMJD=57477,57477,03_spectra/raw_q1_d093/lamost_dr11/J101403.44+193609.1__faint__lamost-dr11-448401085.fits,109440,db31c63f6b597a513f8943b7ad5c79b678017044a250e3d261761c88b6033ecf,https://www.lamost.org/dr11/v2.0/spectrum/fits/448401085,PRESENT_CHECKSUM_REUSED,p3sf-d093
