transition_id,reference_tier,source_family,arm,snr_rung,criterion,applicability,denominator_semantics,discovery_independent_sensitivity_included,unclassifiable_by_design
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,APPLICABLE_SUPPORTED_VARIANCE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,True,True
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,True,False
