transition_id,reference_tier,q1_set,source_family,instrument_pair,arm,snr_rung,bright_epoch_action,faint_epoch_action,object_specific_crn,mc_realizations,seed_namespace,grid_status,execution_authorized,spectra_generated
J075934.95+322143.3,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J075934.95+322143.3,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J075934.95+322143.3,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J075934.95+322143.3,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080133.29+341737.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080133.29+341737.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080133.29+341737.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080133.29+341737.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080711.72+194439.7,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080711.72+194439.7,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080711.72+194439.7,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J080711.72+194439.7,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J083716.47+035606.1,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J083716.47+035606.1,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J083716.47+035606.1,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J083716.47+035606.1,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSSV_DR19/SDSS_LEGACY,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J083826.50+371906.7,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,LAMOST_DR11/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J083826.50+371906.7,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,LAMOST_DR11/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J084016.42+220624.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J084016.42+220624.6,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J085512.13+032950.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J085512.13+032950.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J085512.13+032950.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J085512.13+032950.6,GOLD,PRIMARY_Q1,Zeltyn2024_SDSSV,SDSS_LEGACY/SDSSV_DR19,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J095536.70+103752.4,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,LAMOST_DR11/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J095536.70+103752.4,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,LAMOST_DR11/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1000+0354,GOLD,PRIMARY_Q1,Yang2025_turn_on,DESI_EDR/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0202,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0202,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0202,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0202,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0458,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0458,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1003+0458,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1009+3539,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1009+3539,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1009+3539,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J1009+3539,GOLD,PRIMARY_Q1,Yang2025_turn_on,LAMOST_DR11/SDSS_LEGACY,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
J101403.44+193609.1,GOLD,PRIMARY_Q1,Dong2025_SDSS_LAMOST,SDSS_LEGACY/LAMOST_DR11,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D093_UNEXECUTED,False,False
