transition_id,reference_tier,source_family,event,reference_origin,bright_instrument,faint_instrument,instrument_pair,bright_snr_hbeta,faint_snr_hbeta,bright_snr_continuum,faint_snr_continuum,yang_applicable,green_applicable,faint_only_support_5,matched_support_5,faint_only_support_10,matched_support_10,faint_only_support_15,matched_support_15,faint_only_support_20,matched_support_20,faint_only_support_30,matched_support_30,faint_only_support_40,matched_support_40
J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,turn_on,D093_NEW_VALIDATED,SDSSV_DR19,SDSS_LEGACY,SDSSV_DR19/SDSS_LEGACY,31.815245564405796,16.0465313496846,32.76048517420148,17.19522385500608,True,True,True,True,True,True,True,True,False,False,False,False,False,False
J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,SDSSV_DR19,SDSS_LEGACY/SDSSV_DR19,17.671365310735325,19.31141791637433,16.699361751467148,20.210948829293844,True,True,True,True,True,True,True,True,False,False,False,False,False,False
J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,SDSSV_DR19,SDSS_LEGACY/SDSSV_DR19,22.001761231188688,13.124049544811278,18.206784021584895,11.250093151191686,True,True,True,True,True,True,False,False,False,False,False,False,False,False
J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,turn_on,D093_NEW_VALIDATED,SDSSV_DR19,SDSS_LEGACY,SDSSV_DR19/SDSS_LEGACY,26.60684789842452,22.914614338003343,25.91282605123329,22.70942210172365,True,True,True,True,True,True,True,True,True,True,False,False,False,False
J083826.50+371906.7,GOLD,Dong2025_SDSS_LAMOST,turn_on,D093_NEW_VALIDATED,LAMOST_DR11,SDSS_LEGACY,LAMOST_DR11/SDSS_LEGACY,9.49071860597531,7.619796032415545,10.435683807459997,8.359852722203446,False,False,True,True,False,False,False,False,False,False,False,False,False,False
J084016.42+220624.6,GOLD,Dong2025_SDSS_LAMOST,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,LAMOST_DR11,SDSS_LEGACY/LAMOST_DR11,8.99107090312085,5.5784525406894785,0.8826444650150902,8.297053965755445,False,True,True,True,False,False,False,False,False,False,False,False,False,False
J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,turn_off,D093_NEW_VALIDATED,SDSS_LEGACY,SDSSV_DR19,SDSS_LEGACY/SDSSV_DR19,21.316966521635997,21.54008436382384,18.7995218459791,20.170056803340465,True,True,True,True,True,True,True,True,True,True,False,False,False,False
J092313.53+043445.0,GOLD,Zeltyn2024_SDSSV,turn_on,D093_NEW_VALIDATED,SDSSV_DR19,SDSS_LEGACY,SDSSV_DR19/SDSS_LEGACY,20.558660110399657,3.8936723994784015,16.6758091973822,2.2997382449887116,True,True,False,False,False,False,False,False,False,False,False,False,False,False
J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,turn_on,D093_NEW_VALIDATED,LAMOST_DR11,SDSS_LEGACY,LAMOST_DR11/SDSS_LEGACY,14.59688526013101,8.261404561515231,12.61600178077791,6.54405072183976,True,True,True,True,False,False,False,False,False,False,False,False,False,False
J1000+0354,GOLD,Yang2025_turn_on,turn_on,D093_NEW_VALIDATED,DESI_EDR,SDSS_LEGACY,DESI_EDR/SDSS_LEGACY,4.5416807977461815,9.263317026059754,4.494633678529905,11.278659726788652,True,True,True,False,False,False,False,False,False,False,False,False,False,False
