scope,arm,snr_rung,n_total,n_supported,support_fraction,d093_disposition
ALL_FINAL_GOLD,faint_only,5,58,48,0.8275862068965517,FINAL_RETAINED_PRIOR_COMPARABLE
ALL_FINAL_GOLD,faint_only,10,58,29,0.5,FINAL_RETAINED_PRIOR_COMPARABLE
ALL_FINAL_GOLD,faint_only,15,58,14,0.2413793103448276,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,faint_only,20,58,7,0.1206896551724138,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,faint_only,30,58,1,0.017241379310344827,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,faint_only,40,58,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,matched,5,58,47,0.8103448275862069,FINAL_RETAINED_PRIOR_COMPARABLE
ALL_FINAL_GOLD,matched,10,58,27,0.46551724137931033,FINAL_RETAINED_PRIOR_COMPARABLE
ALL_FINAL_GOLD,matched,15,58,12,0.20689655172413793,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,matched,20,58,7,0.1206896551724138,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,matched,30,58,1,0.017241379310344827,REPORTED_NOT_PROMOTED_COMPARABILITY
ALL_FINAL_GOLD,matched,40,58,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,faint_only,5,49,41,0.8367346938775511,FINAL_RETAINED_PRIOR_COMPARABLE
YANG_APPLICABLE_FINAL_GOLD,faint_only,10,49,25,0.5102040816326531,FINAL_RETAINED_PRIOR_COMPARABLE
YANG_APPLICABLE_FINAL_GOLD,faint_only,15,49,13,0.2653061224489796,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,faint_only,20,49,7,0.14285714285714285,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,faint_only,30,49,1,0.02040816326530612,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,faint_only,40,49,0,0.0,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,matched,5,49,40,0.8163265306122449,FINAL_RETAINED_PRIOR_COMPARABLE
YANG_APPLICABLE_FINAL_GOLD,matched,10,49,24,0.4897959183673469,FINAL_RETAINED_PRIOR_COMPARABLE
YANG_APPLICABLE_FINAL_GOLD,matched,15,49,12,0.24489795918367346,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,matched,20,49,7,0.14285714285714285,REPORTED_NOT_PROMOTED_COMPARABILITY
YANG_APPLICABLE_FINAL_GOLD,matched,30,49,1,0.02040816326530612,REPORTED_NOT_PROMOTED_COMPARABILITY
