transition_id,physical_role,instrument_family,preprocessing_valid,invalid_reason,variance_provenance,n_output_pixels,pair_zero_flux_feasibility_available,pair_zero_flux_feasibility_reason
J000253.52+210109.9,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,4102,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J000253.52+210109.9,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3901,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J083826.50+371906.7,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3827,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J083826.50+371906.7,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3702,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J084016.42+220624.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3399,True,
J084016.42+220624.6,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3896,True,
J095536.70+103752.4,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3819,True,
J095536.70+103752.4,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3890,True,
J101403.44+193609.1,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3683,True,
J101403.44+193609.1,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3820,True,
J101417.87+351106.8,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3835,True,
J101417.87+351106.8,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3880,True,
J102822.85+235125.8,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3829,True,
J102822.85+235125.8,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3904,True,
J103844.05+390804.0,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3706,True,
J103844.05+390804.0,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3894,True,
J104043.38+273518.9,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3800,True,
J104043.38+273518.9,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3907,True,
J104111.56+555142.4,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3834,True,
J104111.56+555142.4,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3896,True,
J104427.75+271806.3,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3523,True,
J104427.75+271806.3,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3665,True,
J105233.83+454949.3,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3750,True,
J105233.83+454949.3,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3831,True,
J110413.32+281530.3,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3830,True,
J110413.32+281530.3,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3901,True,
J112229.65+214815.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3483,True,
J112229.65+214815.6,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3601,True,
J113402.78+290403.9,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3814,True,
J113402.78+290403.9,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3909,True,
J114154.47+063509.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3656,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J114154.47+063509.6,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3752,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J114634.92+282642.0,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3831,True,
J114634.92+282642.0,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3899,True,
J120635.22+175312.3,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3808,True,
J120635.22+175312.3,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3904,True,
J122355.23+343856.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3757,True,
J122355.23+343856.6,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3902,True,
J122623.69+261050.0,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3741,True,
J122623.69+261050.0,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3873,True,
J122945.61+440934.5,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3777,True,
J122945.61+440934.5,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3866,True,
J124554.71+460418.7,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3680,True,
J124554.71+460418.7,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3786,True,
J130501.21+010323.8,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3773,True,
J130501.21+010323.8,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3889,True,
J131001.32+143705.2,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3841,True,
J131001.32+143705.2,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3908,True,
J131432.70+122718.5,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3602,True,
J131432.70+122718.5,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3696,True,
J132421.98+280238.3,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3723,True,
J132421.98+280238.3,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3856,True,
J133551.98+544450.1,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3670,True,
J133551.98+544450.1,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3779,True,
J134133.73+090356.7,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3650,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J134133.73+090356.7,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3618,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J134739.65+362240.0,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3833,True,
J134739.65+362240.0,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3874,True,
J135255.68+252859.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3680,True,
J135255.68+252859.6,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3891,True,
J140207.59+284859.3,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3834,True,
J140207.59+284859.3,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3899,True,
J150026.17+374732.4,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3821,True,
J150026.17+374732.4,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3906,True,
J151143.41+210104.0,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3558,True,
J151143.41+210104.0,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3670,True,
J151219.33+293737.0,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3832,True,
J151219.33+293737.0,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3902,True,
J151804.33+364747.9,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3812,True,
J151804.33+364747.9,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3896,True,
J152904.77+024640.4,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3593,True,
J152904.77+024640.4,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3751,True,
J160157.53+490207.8,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3821,True,
J160157.53+490207.8,faint,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3909,True,
J1000+0354,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3838,True,
J1000+0354,bright,DESI_EDR,True,,NATIVE_DESI_EDR_SUPPORTED,7650,True,
J1003+0202,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3742,True,
J1003+0202,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3853,True,
J1003+0458,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3713,True,
J1003+0458,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3775,True,
J1009+3539,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3686,True,
J1009+3539,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3761,True,
J1110+0804,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3708,True,
J1110+0804,bright,LAMOST_DR11,True,,NATIVE_LAMOST_SUPPORTED,3824,True,
J1311+0705,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3828,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J1311+0705,bright,DESI_EDR,True,,NATIVE_DESI_EDR_SUPPORTED,7756,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J020649.48-041452.7,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,4021,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J020649.48-041452.7,faint,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4618,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J075934.95+322143.3,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3810,True,
J075934.95+322143.3,bright,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4620,True,
J080133.29+341737.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3841,True,
J080133.29+341737.6,faint,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4618,True,
J080711.72+194439.7,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3814,True,
J080711.72+194439.7,faint,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4616,True,
J083716.47+035606.1,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3496,True,
J083716.47+035606.1,bright,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4612,True,
J085512.13+032950.6,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3725,True,
J085512.13+032950.6,faint,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4006,True,
J092313.53+043445.0,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3838,True,
J092313.53+043445.0,bright,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4610,True,
J121618.00+515946.1,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3841,True,
J121618.00+515946.1,faint,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4618,True,
J135750.26+614309.0,bright,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,4592,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J135750.26+614309.0,faint,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4608,False,MASK_COVERAGE_OR_VARIANCE_PROVENANCE_UNSUPPORTED
J140515.59+542458.0,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,3588,True,
J140515.59+542458.0,bright,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4609,True,
J221026.83-001721.1,faint,SDSS_LEGACY,True,,NATIVE_SDSS_SUPPORTED,4582,True,
J221026.83-001721.1,bright,SDSSV_DR19,True,,NATIVE_SDSSV_SUPPORTED,4594,True,
