summary,unit,n_gold_retained,formula,role,execution_status
PRIMARY_TRANSITION_EQUAL,ALL_TRANSITIONS,58,mean_i(p_i); each transition has weight 1/N,PRIMARY_ESTIMAND,FROZEN_UNEXECUTED
EQUAL_SOURCE_FAMILY_WEIGHTED,ALL_SOURCE_FAMILIES,58,mean_family(mean_transition_within_family(p_i)),PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Dong2025_SDSS_LAMOST,24,primary transition-equal mean excluding Dong2025_SDSS_LAMOST,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Green2022,56,primary transition-equal mean excluding Green2022,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,LaMassa2015,57,primary transition-equal mean excluding LaMassa2015,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,MacLeod2016,57,primary transition-equal mean excluding MacLeod2016,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Potts2021,55,primary transition-equal mean excluding Potts2021,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Ruan2016,56,primary transition-equal mean excluding Ruan2016,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Runnoe2016,57,primary transition-equal mean excluding Runnoe2016,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Yang2025_turn_on,53,primary transition-equal mean excluding Yang2025_turn_on,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Zeltyn2024_SDSSV,49,primary transition-equal mean excluding Zeltyn2024_SDSSV,PRESPECIFIED_ROBUSTNESS_NOT_PRIMARY,FROZEN_UNEXECUTED
