transition_id,reference_tier,source_family,bright_science_record_id,faint_science_record_id,bright_snr_continuum_5100,bright_snr_hbeta,faint_snr_continuum_5100,faint_snr_hbeta,faint_only_support_5,matched_support_5,faint_only_support_10,matched_support_10,faint_only_support_15,matched_support_15,faint_only_support_20,matched_support_20,faint_only_support_30,matched_support_30,faint_only_support_40,matched_support_40
SDSSJ000236.25-002724.8,GOLD,Potts2021,sdss:387-51791-110,sdss:669-52559-306,13.258331061726546,13.672298075335704,12.611728340213876,12.394275837080778,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ012648.08-083948.0,GOLD,Ruan2016,sdss:661-52163-604,sdss:2878-54465-377,19.220573113274888,15.118498007634404,22.725203573447423,18.339850909174203,True,True,True,True,True,True,False,False,False,False,False,False
SDSSJ015957.64+003310.4,GOLD,LaMassa2015,sdss:403-51871-549,sdss:3609-55201-524,12.709521333049134,14.41928587420741,14.21314345530114,12.27289409736932,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ021359.79+004226.81,GOLD,Green2022,sdss:405-51816-458,sdss:9383-58097-829,28.86903128439609,29.12606139450405,17.182879109998133,19.94088198413188,True,True,True,True,True,True,False,False,False,False,False,False
SDSSJ082942.66+415436.8,GOLD,Potts2021,sdss:761-54524-71,sdss:761-52266-60,22.863797,25.604863,22.24216,26.257976,True,True,True,True,True,True,True,True,False,False,False,False
SDSSJ101152.98+544206.4,GOLD,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,23.583786000993555,23.641411807977857,15.291776997996214,14.108299609346904,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ102152.34+464515.6,GOLD,MacLeod2016,sdss:944-52614-603,sdss:7386-56769-410,25.48715,26.086349,14.628377,13.875232,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ105325.40+302419.34,GOLD,Green2022,sdss:1981-53463-599,sdss:10476-58141-851,13.159698,12.731029,10.6657,10.35431,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ135855.83+493414.2,GOLD,Potts2021,sdss:1670-54553-73,sdss:1670-53438-61,12.285203866375484,14.314620213363352,8.073042047172182,9.601269599937815,True,True,False,False,False,False,False,False,False,False,False,False
SDSSJ233602.98+001728.7,GOLD,Ruan2016,sdss:385-51783-360,sdss:4213-55449-530,6.222489,5.413369,9.880472,8.93409,True,True,False,False,False,False,False,False,False,False,False,False
SDSSJ012256.19-000252.68,SILVER,MacLeod2016,sdss:9395-58113-532,sdss:399-51817-238,12.972186,14.27177,10.272626,11.372296,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ081319.34+460849.5,SILVER,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,29.294139,29.613148,32.802233,32.415852,True,True,True,True,True,True,True,True,True,False,False,False
SDSSJ105058.42+241351.18,SILVER,Green2022,sdss:2481-54068-428,sdss:10467-58138-592,17.886531,17.53553,13.81583,12.054025,True,True,True,True,False,False,False,False,False,False,False,False
SDSSJ222132.41-010928.70,SILVER,MacLeod2016,sdss:9238-58013-261,sdss:375-52140-253,22.408858,21.971848,15.054314,15.304189,True,True,True,True,True,True,False,False,False,False,False,False
