transition_id,reference_tier,arm,criterion,applicability,denominator_semantics
SDSSJ000236.25-002724.8,GOLD,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ000236.25-002724.8,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ000236.25-002724.8,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ000236.25-002724.8,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ000236.25-002724.8,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ000236.25-002724.8,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ000236.25-002724.8,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ000236.25-002724.8,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ000236.25-002724.8,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ000236.25-002724.8,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ000236.25-002724.8,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ000236.25-002724.8,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012648.08-083948.0,GOLD,faint_only,YANG2024_FINAL,UNCLASSIFIABLE_NATIVE_BRIGHT_FIT_INVALID,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012648.08-083948.0,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012648.08-083948.0,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ012648.08-083948.0,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012648.08-083948.0,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ012648.08-083948.0,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012648.08-083948.0,GOLD,matched,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012648.08-083948.0,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ012648.08-083948.0,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ012648.08-083948.0,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ012648.08-083948.0,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ012648.08-083948.0,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ015957.64+003310.4,GOLD,faint_only,YANG2024_FINAL,UNCLASSIFIABLE_STATIC_NATIVE_BRIGHT_HBETA_COVERAGE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ015957.64+003310.4,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ015957.64+003310.4,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ015957.64+003310.4,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ015957.64+003310.4,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ015957.64+003310.4,GOLD,faint_only,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ015957.64+003310.4,GOLD,matched,YANG2024_FINAL,UNCLASSIFIABLE_STATIC_NATIVE_BRIGHT_HBETA_COVERAGE,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ015957.64+003310.4,GOLD,matched,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ015957.64+003310.4,GOLD,matched,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ015957.64+003310.4,GOLD,matched,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ015957.64+003310.4,GOLD,matched,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
SDSSJ015957.64+003310.4,GOLD,matched,POTTS_VILLFORTH_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ021359.79+004226.81,GOLD,faint_only,YANG2024_FINAL,APPLICABLE_FAIL_CLOSED_PER_REALIZATION,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ021359.79+004226.81,GOLD,faint_only,GREEN2022_FINAL,APPLICABLE_NATIVE_SDSS_VARIANCE_SUPPORTED,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE
SDSSJ021359.79+004226.81,GOLD,faint_only,MACLEOD2019_FINAL,UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL_EVIDENCE,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE
SDSSJ021359.79+004226.81,GOLD,faint_only,MACLEOD2016_SEARCH,SEARCH_PROTOCOL_ONLY,NON_DENOMINATOR
SDSSJ021359.79+004226.81,GOLD,faint_only,GUO_QUICK_SEARCH,SEARCH_STAGE_ONLY_NOT_GUO_FINAL,NON_DENOMINATOR
