summary,unit,source_family,n_gold_retained,execution_status
LEAVE_ONE_TRANSITION_OUT,SDSSJ000236.25-002724.8,Potts2021,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ012648.08-083948.0,Ruan2016,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ015957.64+003310.4,LaMassa2015,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ021359.79+004226.81,Green2022,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ082942.66+415436.8,Potts2021,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ101152.98+544206.4,Runnoe2016,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ102152.34+464515.6,MacLeod2016,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ105325.40+302419.34,Green2022,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ135855.83+493414.2,Potts2021,9,FROZEN_UNEXECUTED
LEAVE_ONE_TRANSITION_OUT,SDSSJ233602.98+001728.7,Ruan2016,9,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Green2022,Green2022,8,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,LaMassa2015,LaMassa2015,9,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,MacLeod2016,MacLeod2016,9,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Potts2021,Potts2021,7,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Ruan2016,Ruan2016,8,FROZEN_UNEXECUTED
LEAVE_ONE_SOURCE_FAMILY_OUT,Runnoe2016,Runnoe2016,9,FROZEN_UNEXECUTED
