object,role,preprocessing_valid,invalid_reason,variance_provenance,n_output_pixels,pair_zero_flux_feasibility_available,pair_zero_flux_feasibility_reason
SDSSJ015957.64+003310.4,bright,True,,NATIVE_SDSS_SUPPORTED,3824,True,
SDSSJ015957.64+003310.4,faint,True,,NATIVE_SDSS_SUPPORTED,4589,True,
SDSSJ012648.08-083948.0,bright,True,,NATIVE_SDSS_SUPPORTED,3818,True,
SDSSJ012648.08-083948.0,faint,True,,NATIVE_SDSS_SUPPORTED,3729,True,
SDSSJ101152.98+544206.4,bright,True,,NATIVE_SDSS_SUPPORTED,3829,True,
SDSSJ101152.98+544206.4,faint,True,,NATIVE_SDSS_SUPPORTED,4399,True,
SDSSJ000236.25-002724.8,bright,True,,NATIVE_SDSS_SUPPORTED,3845,True,
SDSSJ000236.25-002724.8,faint,True,,NATIVE_SDSS_SUPPORTED,3745,True,
SDSSJ135855.83+493414.2,bright,True,,NATIVE_SDSS_SUPPORTED,3698,True,
SDSSJ135855.83+493414.2,faint,True,,NATIVE_SDSS_SUPPORTED,3710,True,
SDSSJ021359.79+004226.81,bright,True,,NATIVE_SDSS_SUPPORTED,3855,True,
SDSSJ021359.79+004226.81,faint,True,,NATIVE_SDSS_SUPPORTED,4601,True,
