transition_id,tier,snr_rung,arm,criterion,prefix_recovery_M40,prefix_recovery_M50,prefix_unclassifiable_M40,prefix_unclassifiable_M50,abs_delta_recovery_M50_M40,abs_delta_unclassifiable_M50_M40,recovery_rule_pass,unclassifiable_rule_pass,group_pass
SDSSJ012256.19-000252.68,SILVER,5.0,faint_only,GREEN2022_FINAL,0.025,0.04,0.0,0.0,0.015,0.0,True,True,True
SDSSJ012256.19-000252.68,SILVER,5.0,faint_only,YANG2024_FINAL,0.14285714285714285,0.1875,0.65,0.68,0.04464285714285715,0.030000000000000027,True,True,True
SDSSJ012256.19-000252.68,SILVER,5.0,matched,GREEN2022_FINAL,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
SDSSJ012256.19-000252.68,SILVER,5.0,matched,YANG2024_FINAL,0.18181818181818182,0.23076923076923078,0.725,0.74,0.04895104895104896,0.015000000000000013,True,True,True
SDSSJ012256.19-000252.68,SILVER,10.0,faint_only,GREEN2022_FINAL,0.675,0.66,0.0,0.0,0.015000000000000013,0.0,True,True,True
SDSSJ012256.19-000252.68,SILVER,10.0,faint_only,YANG2024_FINAL,0.2631578947368421,0.2727272727272727,0.525,0.56,0.009569377990430616,0.03500000000000003,True,True,True
SDSSJ012256.19-000252.68,SILVER,10.0,matched,GREEN2022_FINAL,0.15,0.2,0.0,0.0,0.05000000000000002,0.0,True,True,True
SDSSJ012256.19-000252.68,SILVER,10.0,matched,YANG2024_FINAL,0.21428571428571427,0.23529411764705882,0.65,0.66,0.021008403361344546,0.010000000000000009,True,True,True
SDSSJ082942.66+415436.8,GOLD,5.0,faint_only,GREEN2022_FINAL,0.525,0.58,0.0,0.0,0.05499999999999994,0.0,True,True,True
SDSSJ082942.66+415436.8,GOLD,5.0,faint_only,YANG2024_FINAL,,,1.0,1.0,,0.0,True,True,True
SDSSJ082942.66+415436.8,GOLD,5.0,matched,GREEN2022_FINAL,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True
SDSSJ082942.66+415436.8,GOLD,5.0,matched,YANG2024_FINAL,0.0,0.030303030303030304,0.35,0.34,0.030303030303030304,0.009999999999999953,True,True,True
SDSSJ082942.66+415436.8,GOLD,10.0,faint_only,GREEN2022_FINAL,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True
SDSSJ082942.66+415436.8,GOLD,10.0,faint_only,YANG2024_FINAL,,,1.0,1.0,,0.0,True,True,True
SDSSJ082942.66+415436.8,GOLD,10.0,matched,GREEN2022_FINAL,0.2,0.26,0.0,0.0,0.06,0.0,True,True,True
SDSSJ082942.66+415436.8,GOLD,10.0,matched,YANG2024_FINAL,0.034482758620689655,0.029411764705882353,0.275,0.32,0.005070993914807302,0.044999999999999984,True,True,True
