transition_id,tier,selection_role,snr_rung,arm,criterion,n_realizations,n_CL,n_nonCL,n_unclassifiable,classifiable_fraction,prefix_recovery_M5,prefix_recovery_M10,prefix_recovery_M20,prefix_recovery_M40,prefix_recovery_M50,prefix_unclassifiable_M20,prefix_unclassifiable_M40,prefix_unclassifiable_M50,measurement_mean,measurement_sd,measurement_median,measurement_q10,measurement_q90
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,50,2,48,0,1.0,0.0,0.0,0.0,0.025,0.04,0.0,0.0,0.0,2.156741059405377,0.4870571040587471,2.05055193002066,1.7311430663666427,2.7985178551089853
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,50,3,13,34,0.32,0.0,0.0,0.0,0.14285714285714285,0.1875,0.6,0.65,0.68,0.3926008800832725,0.17043911750555107,0.4040190229555749,0.19434036827719658,0.5341680014640271
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,5.0,matched,GREEN2022_FINAL,50,0,50,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6264689160363561,0.5034059941770492,1.5947031734772372,1.1008261881556043,2.237539266056641
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,5.0,matched,YANG2024_FINAL,50,3,10,37,0.26,0.0,0.25,0.14285714285714285,0.18181818181818182,0.23076923076923078,0.65,0.725,0.74,0.49894268433892813,0.23959896183659657,0.5953253660917396,0.18470776003309194,0.7208674923191989
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,50,33,17,0,1.0,0.8,0.7,0.65,0.675,0.66,0.0,0.0,0.0,3.1253578942713394,0.27465952855150233,3.116805591460553,2.7966072445854673,3.477748404202531
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,50,6,16,28,0.44,0.0,0.0,0.2222222222222222,0.2631578947368421,0.2727272727272727,0.55,0.525,0.56,0.3303785280592471,0.13611661156631566,0.3533626324030855,0.17839916916932225,0.4976517689351126
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,10.0,matched,GREEN2022_FINAL,50,10,40,0,1.0,0.0,0.2,0.2,0.15,0.2,0.0,0.0,0.0,2.7228009679860383,0.33961376362609713,2.7464113238506367,2.3287611053088924,3.141226871169836
SDSSJ012256.19-000252.68,SILVER,SILVER_LOW_NATIVE_SN,10.0,matched,YANG2024_FINAL,50,4,13,33,0.34,0.0,0.0,0.14285714285714285,0.21428571428571427,0.23529411764705882,0.65,0.65,0.66,0.4155701948639572,0.1541719652517187,0.44937720508863843,0.2375162550913102,0.5525184064406042
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,GREEN2022_FINAL,50,29,21,0,1.0,0.4,0.7,0.6,0.525,0.58,0.0,0.0,0.0,3.1304613274226187,0.6441450757402671,3.0871554024386656,2.3699667052826405,4.018262875242281
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,faint_only,YANG2024_FINAL,50,0,0,50,0.0,,,,,,1.0,1.0,1.0,,,,,
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,GREEN2022_FINAL,50,0,50,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6777432609442886,0.5384639952264535,1.598447455345413,0.9754634700754702,2.4662630260777196
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,5.0,matched,YANG2024_FINAL,50,1,32,17,0.66,0.0,0.0,0.0,0.0,0.030303030303030304,0.35,0.35,0.34,0.5776708741530706,0.15196532898770104,0.5987280064117492,0.43904554266051965,0.7408270421621835
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,GREEN2022_FINAL,50,50,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.932778623373263,0.80215330676934,4.9524039811041,3.7894224765402744,5.851765799216783
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,faint_only,YANG2024_FINAL,50,0,0,50,0.0,,,,,,1.0,1.0,1.0,,,,,
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,GREEN2022_FINAL,50,13,37,0,1.0,0.0,0.0,0.15,0.2,0.26,0.0,0.0,0.0,2.438492433995217,0.8742639105313835,2.4428261261234168,1.2679085884666177,3.5188533434756692
SDSSJ082942.66+415436.8,GOLD,GOLD_HIGH_NATIVE_SN,10.0,matched,YANG2024_FINAL,50,1,33,16,0.68,0.0,0.0,0.0,0.034482758620689655,0.029411764705882353,0.2,0.275,0.32,6.307529371243101,33.58435715979456,0.5657524813993302,0.46518000083236777,0.658301986181625
