transition_id,tier,spectrum_id,fit_role,arm,snr_rung,realization,fit_completed,optimizer_success,parameter_at_bound,local_hbeta_coverage,local_mask_fraction,continuum_valid,broad_component_present,broad_component_amplitude,broad_component_width,broad_flux,residual_rms_local,finite_measurement,fit_valid,invalid_reason,valid_nondetection
SDSSJ012256.19-000252.68,SILVER,9395-58113-532,native_bright,native,,,True,True,False,True,0.0,True,True,2.8047608680026315,13966.962711594526,674.6032276882547,3.0219962290957794,True,True,,False
SDSSJ012256.19-000252.68,SILVER,399-51817-238,native_faint,native,,,True,True,True,True,0.0,True,True,1.3339179760762931,5936.841236974587,193.7046976684179,0.7775997617066476,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ081319.34+460849.5,SILVER,439-51877-566,native_bright,native,,,True,True,False,True,0.0,True,True,5.68178504245509,16544.398592046775,1618.8621692640293,16.38592771977607,True,True,,False
SDSSJ081319.34+460849.5,SILVER,6392-56331-693,native_faint,native,,,True,True,False,True,0.0,True,True,4.451979340736045,13817.502009755348,918.7755495707488,1.5070685707107851,True,True,,False
SDSSJ082942.66+415436.8,GOLD,761-54524-71,native_bright,native,,,True,True,True,True,0.0,True,True,19.696119180068195,12525.030657708614,3753.736868302251,2.4655925557046627,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ082942.66+415436.8,GOLD,761-52266-60,native_faint,native,,,True,True,False,True,0.0,True,True,11.093977403398014,9372.673509195336,1790.487029182298,5.060674244182466,True,True,,False
SDSSJ102152.34+464515.6,GOLD,944-52614-603,native_bright,native,,,True,True,False,True,0.0,True,True,20.49920622138046,4604.824361306868,1928.9628259158417,1.4904536236009278,True,True,,False
SDSSJ102152.34+464515.6,GOLD,7386-56769-410,native_faint,native,,,True,True,True,True,0.0,True,True,2.8918334393779332,11798.428684232458,587.5445122357207,1.5022793485052857,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ105058.42+241351.18,SILVER,2481-54068-428,native_bright,native,,,True,True,False,True,0.0,True,True,9.0062612922992,2862.757632241454,443.9569255193461,1.2819641846623278,True,True,,False
SDSSJ105058.42+241351.18,SILVER,10467-58138-592,native_faint,native,,,True,True,False,True,0.0,True,True,2.199568305272237,11214.690788359843,424.773228475533,0.9175592582186785,True,True,,False
SDSSJ105325.40+302419.34,GOLD,1981-53463-599,native_bright,native,,,True,True,False,True,0.0,True,True,4.739070247339328,8274.486209737384,785.5236628627142,1.398816850506518,True,True,,False
SDSSJ105325.40+302419.34,GOLD,10476-58141-851,native_faint,native,,,True,True,False,True,0.0,True,True,1.4373047196869493,15603.1067536478,355.5356102527142,1.3182360132810405,True,True,,False
SDSSJ222132.41-010928.70,SILVER,9238-58013-261,native_bright,native,,,True,True,False,True,0.0,True,True,0.8886191782409014,14451.281401739116,221.1446644464955,0.2684518722592834,True,True,,False
SDSSJ222132.41-010928.70,SILVER,375-52140-253,native_faint,native,,,True,True,False,True,0.0,True,True,2.1093510271796845,17257.828794897632,616.012286988709,1.307380214169383,True,True,,False
SDSSJ233602.98+001728.7,GOLD,385-51783-360,native_bright,native,,,True,True,False,True,0.0,True,True,1.4366197120807556,17539.231775324242,433.9397687359783,1.8431000777611497,True,True,,False
SDSSJ233602.98+001728.7,GOLD,4213-55449-530,native_faint,native,,,True,True,True,True,0.0,True,True,0.3324535091664415,17728.102154970664,101.50198695938508,0.4572851291425254,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
