object_id,survey,spectrum_id,mjd,redshift,zwarn,zwarning_bits,zwarning_disposition,zwarning_threatens,zwarning_needs_review,strict_zwarning_pass,n_pixels,rest_min,rest_max,covers_hbeta,masked_fraction_hbeta,snr_continuum_5100,snr_hbeta_window,continuum_level_5100,qc_pass,qc_failures,path,role,plate,fiber,valid_pixel_fraction,degradation_source_eligible
SDSSJ015957.64+003310.4,SDSS,403-51871-549,51871.0,0.3118252,0,,PASS,,False,True,3834,2905.5209929028874,7023.0228856139875,True,0.014084507042253521,12.709521333049134,14.41928587420741,7.150904893875122,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ015957.64+003310.4__bright__spec-0403-51871-0549.fits,bright,403,549,0.9979134063641106,True
SDSSJ015957.64+003310.4,SDSS,3609-55201-524,55201.0,0.3120502,0,,PASS,,False,True,4612,2726.776993425497,7884.052074149427,True,0.0,14.21314345530114,12.27289409736932,4.635777473449707,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ015957.64+003310.4__faint__spec-3609-55201-0524.fits,faint,3609,524,0.9950130095403296,True
SDSSJ012648.08-083948.0,SDSS,661-52163-604,52163.0,0.1977467,0,,PASS,,False,True,3820,3190.32603044055,7686.610964269934,True,0.0,19.220573113274888,15.118498007634404,12.75476360321045,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ012648.08-083948.0__bright__spec-0661-52163-0604.fits,bright,661,604,1.0,True
SDSSJ012648.08-083948.0,SDSS,2878-54465-377,54465.0,0.1979131,0,,PASS,,False,True,3830,3185.478194377774,7692.626314128452,True,0.0,22.725203573447423,18.339850909174203,8.238112449645996,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ012648.08-083948.0__faint__spec-2878-54465-0377.fits,faint,2878,377,0.9741514360313316,True
SDSSJ101152.98+544206.4,SDSS,945-52652-22,52652.0,0.2463892,0,,PASS,,False,True,3831,3057.3588254127462,7384.92874822687,True,0.0,23.583786000993555,23.641411807977857,13.24517297744751,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ101152.98+544206.4__bright__spec-0945-52652-0022.fits,bright,945,22,1.0,True
SDSSJ101152.98+544206.4,SDSS,8181-57073-827,57073.0,0.246515,0,,PASS,,False,True,4583,2898.694476471787,8325.348474326383,True,0.0,15.291776997996214,14.108299609346904,5.878910064697266,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ101152.98+544206.4__faint__spec-8181-57073-0827.fits,faint,8181,827,0.9982544185031639,True
SDSSJ000236.25-002724.8,SDSS,387-51791-110,51791.0,0.2912391,0,,PASS,,False,True,3845,2940.311849398735,7125.138079056144,True,0.0,13.258331061726546,13.672298075335704,6.76170015335083,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ000236.25-002724.8__bright__spec-0387-51791-0110.fits,bright,387,110,1.0,True
SDSSJ000236.25-002724.8,SDSS,669-52559-306,52559.0,0.2913462,0,,PASS,,False,True,3808,2961.128757450457,7114.713288822835,True,0.0,12.611728340213876,12.394275837080778,5.027987480163574,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ000236.25-002724.8__faint__spec-0669-52559-0306.fits,faint,669,306,0.9834558823529411,True
SDSSJ135855.83+493414.2,SDSS,1670-54553-73,54553.0,0.1158477,0,,PASS,,False,True,3831,3412.675527059279,8243.186646671395,True,0.0,12.285203866375484,14.314620213363352,9.426348686218262,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ135855.83+493414.2__bright__spec-1670-54553-0073.fits,bright,1670,73,1.0,True
SDSSJ135855.83+493414.2,SDSS,1670-53438-61,53438.0,0.1159179,0,,PASS,,False,True,3844,3403.829922413683,8246.46547877114,True,0.0,8.073042047172182,9.601269599937817,6.7354607582092285,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ135855.83+493414.2__faint__spec-1670-53438-0061.fits,faint,1670,61,1.0,True
SDSSJ021359.79+004226.81,SDSS,405-51816-458,51816.0,0.1823621,0,,PASS,,False,True,3855,3201.470216139195,7775.879514893876,True,0.0,28.86903128439609,29.12606139450405,31.9548282623291,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ021359.79+004226.81__bright__spec-0405-51816-0458.fits,bright,405,458,1.0,True
SDSSJ021359.79+004226.81,SDSS,9383-58097-829,58097.0,0.1823014,0,,PASS,,False,True,4606,3035.7909566577982,8765.402530029518,True,0.0,17.182879109998133,19.94088198413188,9.410943031311035,True,,03_spectra/raw_sdss/d091_expansion/SDSSJ021359.79+004226.81__faint__spec-9383-58097-0829.fits,faint,9383,829,0.9989144594007816,True
