transition_id,reference_tier,q1_set,source_family,bright_science_record_id,faint_science_record_id,arm,snr_rung,bright_epoch_action,faint_epoch_action,object_specific_crn,mc_realizations,seed_namespace,grid_status,execution_authorized,spectra_generated
SDSSJ000236.25-002724.8,GOLD,PRIMARY_Q1,Potts2021,sdss:387-51791-110,sdss:669-52559-306,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ000236.25-002724.8,GOLD,PRIMARY_Q1,Potts2021,sdss:387-51791-110,sdss:669-52559-306,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ000236.25-002724.8,GOLD,PRIMARY_Q1,Potts2021,sdss:387-51791-110,sdss:669-52559-306,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ000236.25-002724.8,GOLD,PRIMARY_Q1,Potts2021,sdss:387-51791-110,sdss:669-52559-306,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9395-58113-532,sdss:399-51817-238,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9395-58113-532,sdss:399-51817-238,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9395-58113-532,sdss:399-51817-238,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,MacLeod2016,sdss:9395-58113-532,sdss:399-51817-238,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012648.08-083948.0,GOLD,PRIMARY_Q1,Ruan2016,sdss:661-52163-604,sdss:2878-54465-377,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012648.08-083948.0,GOLD,PRIMARY_Q1,Ruan2016,sdss:661-52163-604,sdss:2878-54465-377,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012648.08-083948.0,GOLD,PRIMARY_Q1,Ruan2016,sdss:661-52163-604,sdss:2878-54465-377,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ012648.08-083948.0,GOLD,PRIMARY_Q1,Ruan2016,sdss:661-52163-604,sdss:2878-54465-377,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ015957.64+003310.4,GOLD,PRIMARY_Q1,LaMassa2015,sdss:403-51871-549,sdss:3609-55201-524,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ015957.64+003310.4,GOLD,PRIMARY_Q1,LaMassa2015,sdss:403-51871-549,sdss:3609-55201-524,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ015957.64+003310.4,GOLD,PRIMARY_Q1,LaMassa2015,sdss:403-51871-549,sdss:3609-55201-524,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ015957.64+003310.4,GOLD,PRIMARY_Q1,LaMassa2015,sdss:403-51871-549,sdss:3609-55201-524,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ021359.79+004226.81,GOLD,PRIMARY_Q1,Green2022,sdss:405-51816-458,sdss:9383-58097-829,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ021359.79+004226.81,GOLD,PRIMARY_Q1,Green2022,sdss:405-51816-458,sdss:9383-58097-829,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ021359.79+004226.81,GOLD,PRIMARY_Q1,Green2022,sdss:405-51816-458,sdss:9383-58097-829,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ021359.79+004226.81,GOLD,PRIMARY_Q1,Green2022,sdss:405-51816-458,sdss:9383-58097-829,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,Yang2018,sdss:439-51877-566,sdss:6392-56331-693,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,Potts2021,sdss:761-54524-71,sdss:761-52266-60,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
SDSSJ101152.98+544206.4,GOLD,PRIMARY_Q1,Runnoe2016,sdss:945-52652-22,sdss:8181-57073-827,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,50,p3sf:q1:full:v1,FINAL_FROZEN_D091_UNEXECUTED,False,False
