transition_id,reference_tier,q1_set,bright_science_record_id,faint_science_record_id,arm,snr_rung,bright_epoch_action,faint_epoch_action,object_specific_crn,grid_status,execution_authorized,spectra_generated
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,sdss:9395-58113-532,sdss:399-51817-238,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,sdss:9395-58113-532,sdss:399-51817-238,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,sdss:9395-58113-532,sdss:399-51817-238,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_INCREMENT,sdss:9395-58113-532,sdss:399-51817-238,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,faint_only,15,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,faint_only,20,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,matched,15,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_INCREMENT,sdss:439-51877-566,sdss:6392-56331-693,matched,20,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,faint_only,15,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,faint_only,20,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,matched,15,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,sdss:761-54524-71,sdss:761-52266-60,matched,20,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,sdss:944-52614-603,sdss:7386-56769-410,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,sdss:944-52614-603,sdss:7386-56769-410,faint_only,10,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,sdss:944-52614-603,sdss:7386-56769-410,matched,5,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,sdss:944-52614-603,sdss:7386-56769-410,matched,10,DEGRADE_TO_RUNG,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
SDSSJ105058.42+241351.18,SILVER,SENSITIVITY_INCREMENT,sdss:2481-54068-428,sdss:10467-58138-592,faint_only,5,UNCHANGED,DEGRADE_TO_RUNG,True,DEVELOPMENT_ONLY_PROVISIONAL,False,False
