transition_id,reference_tier,q1_set,yang2024_final,macleod2019_final,green2022_final,macleod2016_protocol,guo_quick_screen,guo_final_protocol,potts_villforth_protocol
SDSSJ012256.19-000252.68,SILVER,SENSITIVITY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ074511.98+380911.3,SILVER,EXCLUDED,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ081319.34+460849.5,SILVER,SENSITIVITY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ082942.66+415436.8,GOLD,PRIMARY_Q1,FINAL_CLASSIFIER_APPLICABLE_EXACT_SDSS_PAIR,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE_EXACT_SDSS_PAIR_T2B_RULE_RETAINED,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY_T2B_RULE_RETAINED,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ090258.39+252915.15,BORDERLINE,DISAGREEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ102152.34+464515.6,GOLD,PRIMARY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ105058.42+241351.18,SILVER,SENSITIVITY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ105325.40+302419.34,GOLD,PRIMARY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ114408.90+424357.5,BORDERLINE,DISAGREEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ120442.10+275411.8,BORDERLINE,DISAGREEMENT_DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,DIAGNOSTIC_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ123359.12+084211.5,SILVER,EXCLUDED_PENDING_OPTIONAL_ACQUISITION,OUT_OF_DOMAIN_NO_LOCAL_EXACT_PAIR,OUT_OF_DOMAIN_NO_LOCAL_EXACT_PAIR,OUT_OF_DOMAIN_NO_LOCAL_EXACT_PAIR,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ141213.61+021202.1,BORDERLINE,EXCLUDED,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ153612.80+034245.7,SILVER,EXCLUDED,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ161711.42+063833.4,SILVER,EXCLUDED,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ210200.42+000501.8,SILVER,EXCLUDED,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,OUT_OF_DOMAIN_NO_EXACT_PAIR,NON_DENOMINATOR,SEARCH_STAGE_ONLY,NON_DENOMINATOR,SEARCH_STAGE_ONLY
SDSSJ222132.41-010928.70,SILVER,SENSITIVITY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
SDSSJ233602.98+001728.7,GOLD,PRIMARY_Q1,FINAL_CLASSIFIER_APPLICABLE,FINAL_CLASSIFIER_UNCLASSIFIABLE_NO_PROSPECTIVE_VISUAL,FINAL_CLASSIFIER_APPLICABLE,NON_DENOMINATOR_VISUAL_SEARCH_PROTOCOL,SEARCH_STAGE_ONLY,NON_DENOMINATOR_CONFIRMATION_PROTOCOL,SEARCH_STAGE_ONLY
