transition_id,reference_tier,exact_bright_endpoint_local,exact_faint_endpoint_local,current_local_pair_is_historical_event,wavelength_coverage_adequate,native_qc_valid,degradation_source_epoch_available,classifier_applicability,gate_c_applicability,q1_primary_eligible,q1_sensitivity_eligible,exclusion_reason
SDSSJ012256.19-000252.68,SILVER,True,True,True,COMPLETE_BOTH,True,True,"YANG_AND_GREEN_FINAL_APPLICABLE; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; OTHER_PROTOCOLS_NON_DENOMINATOR",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,True,PRIMARY_EXCLUDES_SILVER
SDSSJ074511.98+380911.3,SILVER,True,False,False,PUBLISHED_SETUP_ADEQUATE_NOT_LOCALLY_VALIDATED,False,False,OUT_OF_DOMAIN_NO_EXACT_HISTORICAL_PAIR,NOT_REACHED_NO_EXACT_PAIR,False,False,"Exact MMT faint endpoint unavailable; later DESI is prohibited"
SDSSJ081319.34+460849.5,SILVER,True,True,True,COMPLETE_BOTH,True,True,"YANG_AND_GREEN_FINAL_APPLICABLE; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; OTHER_PROTOCOLS_NON_DENOMINATOR",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,True,PRIMARY_EXCLUDES_SILVER
SDSSJ082942.66+415436.8,GOLD,True,True,True,COMPLETE_BOTH,True,True,"YANG_FINAL_APPLICABLE; GREEN_FINAL_APPLICABLE_ON_EXACT_SDSS_PAIR; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; T2B_DEPENDENCIES_REMAIN_UNCLASSIFIABLE",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,True,True,"Eligible; any criterion consuming unsupported DESI T2-B variance remains unclassifiable"
SDSSJ090258.39+252915.15,BORDERLINE,True,True,True,COMPLETE_BOTH,PENDING_GATE_B_HBETA_ADJUDICATION,True,DISAGREEMENT_DIAGNOSTIC_ONLY,NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,False,"BORDERLINE is not ground truth; native Hbeta QC remains pending"
SDSSJ102152.34+464515.6,GOLD,True,True,True,COMPLETE_BOTH,True,True,"YANG_AND_GREEN_FINAL_APPLICABLE; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; OTHER_PROTOCOLS_NON_DENOMINATOR",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,True,True,
SDSSJ105058.42+241351.18,SILVER,True,True,True,COMPLETE_BOTH,True,True,"YANG_AND_GREEN_FINAL_APPLICABLE; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; OTHER_PROTOCOLS_NON_DENOMINATOR",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,True,PRIMARY_EXCLUDES_SILVER
SDSSJ105325.40+302419.34,GOLD,True,True,True,COMPLETE_BOTH,True,True,"YANG_AND_GREEN_FINAL_APPLICABLE; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; OTHER_PROTOCOLS_NON_DENOMINATOR",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,True,True,
SDSSJ114408.90+424357.5,BORDERLINE,True,True,True,COMPLETE_BOTH,True,True,DISAGREEMENT_DIAGNOSTIC_ONLY,NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,False,BORDERLINE_NOT_GROUND_TRUTH
SDSSJ120442.10+275411.8,BORDERLINE,True,True,True,COMPLETE_BOTH,True,True,DISAGREEMENT_DIAGNOSTIC_ONLY,NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,False,BORDERLINE_NOT_GROUND_TRUTH
SDSSJ123359.12+084211.5,SILVER,True,False,False,PUBLISHED_WHT_SETUP_ADEQUATE_NOT_LOCALLY_VALIDATED,False,False,OUT_OF_DOMAIN_UNTIL_OPTIONAL_EXACT_WHT_ACQUISITION,NOT_REACHED_NO_LOCAL_EXACT_PAIR,False,False,"Exact WHT endpoint is recoverable metadata-only SILVER resource; acquisition not authorized"
SDSSJ141213.61+021202.1,BORDERLINE,True,False,False,PUBLISHED_SETUP_ADEQUATE_NOT_LOCALLY_VALIDATED,False,False,OUT_OF_DOMAIN_NO_EXACT_HISTORICAL_PAIR,NOT_REACHED_NO_EXACT_PAIR,False,False,"BORDERLINE and exact MMT faint endpoint unavailable; later DESI prohibited"
SDSSJ153612.80+034245.7,SILVER,True,False,False,PUBLISHED_SETUP_ADEQUATE_AT_7000A_BOUNDARY_NOT_LOCALLY_VALIDATED,False,False,OUT_OF_DOMAIN_NO_EXACT_HISTORICAL_PAIR,NOT_REACHED_NO_EXACT_PAIR,False,False,Exact MMT faint endpoint unavailable
SDSSJ161711.42+063833.4,SILVER,True,False,False,PUBLISHED_SETUP_ADEQUATE_NOT_LOCALLY_VALIDATED,False,False,OUT_OF_DOMAIN_NO_EXACT_HISTORICAL_PAIR,NOT_REACHED_NO_EXACT_PAIR,False,False,"Exact Magellan faint endpoint unavailable; later DESI/DESI pair prohibited"
SDSSJ210200.42+000501.8,SILVER,True,False,False,PUBLISHED_SETUP_ADEQUATE_NOT_LOCALLY_VALIDATED,False,False,OUT_OF_DOMAIN_NO_EXACT_HISTORICAL_PAIR,NOT_REACHED_NO_EXACT_PAIR,False,False,"Exact MMT faint endpoint unavailable; DESI identity/redshift conflict"
SDSSJ222132.41-010928.70,SILVER,True,True,True,COMPLETE_BOTH,True,True,"YANG_AND_GREEN_FINAL_APPLICABLE; MACLEOD2019_FINAL_UNCLASSIFIABLE_NO_VISUAL; OTHER_PROTOCOLS_NON_DENOMINATOR",NOT_APPLICABLE_EXACT_PAIR_SDSS_ONLY,False,True,PRIMARY_EXCLUDES_SILVER
