object,role,spectrum_id,fit_completed,optimizer_success,parameter_at_bound,local_hbeta_coverage,local_mask_fraction,continuum_valid,broad_component_present,broad_component_amplitude,broad_component_width,broad_flux,residual_rms_local,finite_measurement,fit_valid,invalid_reason,valid_nondetection
SDSSJ015957.64+003310.4,bright,403-51871-549,False,False,False,False,0.012165450121654486,False,False,,,,,False,False,LOCAL_HBETA_COVERAGE_INCOMPLETE,False
SDSSJ015957.64+003310.4,faint,3609-55201-524,True,True,False,True,0.0,True,True,0.6108169525731455,20059.889962949735,211.8566576566964,1.5721930714552412,True,False,BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,False
SDSSJ012648.08-083948.0,bright,661-52163-604,True,True,True,True,0.0,True,True,6.369601512901113,3266.671568350371,685.0511583571281,1.6208645683838099,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ012648.08-083948.0,faint,2878-54465-377,True,True,False,True,0.0,True,True,0.002687849942617504,3679.3016397265683,4.75927929383354,1.7073557165335622,True,True,,False
SDSSJ101152.98+544206.4,bright,945-52652-22,True,True,False,True,0.0,True,True,25.00400275717851,3054.6504768899904,1480.8694995177523,1.76405098426073,True,True,,False
SDSSJ101152.98+544206.4,faint,8181-57073-827,True,True,True,True,0.0,True,True,0.2275563071307829,4373.563561218194,22.703565382509076,0.5690552990885164,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ000236.25-002724.8,bright,387-51791-110,True,True,False,True,0.0,True,True,6.989306355897895,3787.7412781688868,912.5643942416798,2.9450785722755155,True,True,,False
SDSSJ000236.25-002724.8,faint,669-52559-306,True,True,True,True,0.0,True,True,2.9152563696399625,17181.179016922488,862.5955184750253,14.772905133085557,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ135855.83+493414.2,bright,1670-54553-73,True,True,True,True,0.0,True,True,4.223442706674518,4039.2876543604316,682.478800156598,1.525847122032524,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ135855.83+493414.2,faint,1670-53438-61,True,True,True,True,0.0,True,True,1.6569112748499037,9254.99436828425,331.19888492930113,1.7684283613083132,True,False,ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,False
SDSSJ021359.79+004226.81,bright,405-51816-458,True,True,False,True,0.0,True,True,24.3296266466686,12080.2424211748,5061.232777377977,14.001112711731652,True,True,,False
SDSSJ021359.79+004226.81,faint,9383-58097-829,True,True,False,True,0.0,True,True,12.274994909411419,3359.3496926488265,1320.7290174304178,28.251558134465185,True,True,,False
