transition_id,role,spectrum_id,instrument_survey,redshift,ra_deg,dec_deg,expected_sha256,variance_provenance,catalog_source,actual_sha256
J075934.95+322143.3,bright,SDSSV_DR19:sdss_id=57596704;field=15023;mjd=59167;catalogid=4554716669;run2d=v6_1_3,SDSSV_DR19,0.2688800990581512,119.89561,32.362011,18c939fb2e1ac9c14390ba5cb7e86fb6347fbd72c4cba9a3a5d29e557e9b7c44,NATIVE_SDSSV_SUPPORTED,D093,18c939fb2e1ac9c14390ba5cb7e86fb6347fbd72c4cba9a3a5d29e557e9b7c44
J075934.95+322143.3,faint,SDSS:890-52583-634;specObjID=1002225233018513408;run2d=26,SDSS_LEGACY,0.2688800990581512,119.89561,32.362025,9ece33e42f080267d61d90d3b036e82e49a44b57f1194ad248b47c419d59dcb1,NATIVE_SDSS_SUPPORTED,D093,9ece33e42f080267d61d90d3b036e82e49a44b57f1194ad248b47c419d59dcb1
J080133.29+341737.6,bright,SDSS:891-52584-472;specObjID=1003306602721208320;run2d=26,SDSS_LEGACY,0.3379819095134735,120.38869,34.293779,bc4756761eb3a1a9b3bb9a2cf93589ac34c90161a0eaf23db757ec663ee593bc,NATIVE_SDSS_SUPPORTED,D093,bc4756761eb3a1a9b3bb9a2cf93589ac34c90161a0eaf23db757ec663ee593bc
J080133.29+341737.6,faint,SDSSV_DR19:sdss_id=57821615;field=15022;mjd=59165;catalogid=4555221243;run2d=v6_1_3,SDSSV_DR19,0.3379819095134735,120.38867,34.293784,e48f23a0f23c30769d95f163580979dedee6f5e236b3d8420f81b050d8ad808c,NATIVE_SDSSV_SUPPORTED,D093,e48f23a0f23c30769d95f163580979dedee6f5e236b3d8420f81b050d8ad808c
J080711.72+194439.7,bright,SDSS:1922-53315-628;specObjID=2164152299893581824;run2d=26,SDSS_LEGACY,0.3477453291416168,121.79882,19.744348,db9971d3231a25644936138f57c31bdb4ec111e99327002dca73aa5e8383e2f1,NATIVE_SDSS_SUPPORTED,D093,db9971d3231a25644936138f57c31bdb4ec111e99327002dca73aa5e8383e2f1
J080711.72+194439.7,faint,SDSSV_DR19:sdss_id=56350768;field=15052;mjd=59229;catalogid=4546222689;run2d=v6_1_3,SDSSV_DR19,0.3477453291416168,121.79882,19.744341,d361511b05079ae97c07d88e1a7b9e8d247a4aa35b7e46182ba58bf454c633ad,NATIVE_SDSSV_SUPPORTED,D093,d361511b05079ae97c07d88e1a7b9e8d247a4aa35b7e46182ba58bf454c633ad
J083716.47+035606.1,bright,SDSSV_DR19:sdss_id=74372765;field=15257;mjd=59288;catalogid=4545083597;run2d=v6_1_3,SDSSV_DR19,0.0634824410080909,129.31862,3.935022,80e19388c58725e724179e69a7c55fe203e02decd82be6d14d65f578835e0b64,NATIVE_SDSSV_SUPPORTED,D093,80e19388c58725e724179e69a7c55fe203e02decd82be6d14d65f578835e0b64
J083716.47+035606.1,faint,SDSS:1186-52646-60;specObjID=1335333826582308864;run2d=26,SDSS_LEGACY,0.0634824410080909,129.31863,3.9350193,09a32249eea00f2ce6aea311b4ade1872dc7007f7563e492e21b44304a330089,NATIVE_SDSS_SUPPORTED,D093,09a32249eea00f2ce6aea311b4ade1872dc7007f7563e492e21b44304a330089
J083826.50+371906.7,bright,LAMOST_DR11:obsid=868213035;planid=HD082602N365857M02;spid=13;fiberid=35;LMJD=59200,LAMOST_DR11,0.211050808429718,129.61042,37.318528,910c2f931b0edf617f403a34cbd91627e231dff22305275ffb21f990e23a36bc,NATIVE_LAMOST_SUPPORTED,D093,910c2f931b0edf617f403a34cbd91627e231dff22305275ffb21f990e23a36bc
J083826.50+371906.7,faint,SDSS:864-52320-335;specObjID=972869642534021120;run2d=26,SDSS_LEGACY,0.211050808429718,129.61042,37.318528,f735302be6feac6462b25b9c5dfe689c98ad4ac9427aad438d67f8f2f1d4ba0e,NATIVE_SDSS_SUPPORTED,D093,f735302be6feac6462b25b9c5dfe689c98ad4ac9427aad438d67f8f2f1d4ba0e
