task_kind,transition_id,realization,target_snr,seed
faint_shared,J075934.95+322143.3,0.0,10.0,3075715648.0
faint_shared,J075934.95+322143.3,1.0,10.0,3185615529.0
faint_shared,J075934.95+322143.3,2.0,10.0,784101732.0
faint_shared,J075934.95+322143.3,3.0,10.0,567460506.0
faint_shared,J075934.95+322143.3,4.0,10.0,2403908915.0
faint_shared,J075934.95+322143.3,5.0,10.0,2154532161.0
faint_shared,J075934.95+322143.3,6.0,10.0,1168454266.0
faint_shared,J075934.95+322143.3,7.0,10.0,3656560936.0
faint_shared,J075934.95+322143.3,8.0,10.0,134405240.0
faint_shared,J075934.95+322143.3,9.0,10.0,2350899428.0
faint_shared,J075934.95+322143.3,10.0,10.0,1453412061.0
faint_shared,J075934.95+322143.3,11.0,10.0,1943739374.0
faint_shared,J075934.95+322143.3,12.0,10.0,3883454602.0
faint_shared,J075934.95+322143.3,13.0,10.0,3364696223.0
faint_shared,J075934.95+322143.3,14.0,10.0,130582282.0
faint_shared,J075934.95+322143.3,15.0,10.0,499721841.0
faint_shared,J075934.95+322143.3,16.0,10.0,979699280.0
faint_shared,J075934.95+322143.3,17.0,10.0,2459910956.0
faint_shared,J075934.95+322143.3,18.0,10.0,493281146.0
faint_shared,J075934.95+322143.3,19.0,10.0,2695987900.0
faint_shared,J075934.95+322143.3,20.0,10.0,807516620.0
faint_shared,J075934.95+322143.3,21.0,10.0,2995122794.0
faint_shared,J075934.95+322143.3,22.0,10.0,644605076.0
faint_shared,J075934.95+322143.3,23.0,10.0,3760297363.0
faint_shared,J075934.95+322143.3,24.0,10.0,1774172647.0
faint_shared,J075934.95+322143.3,25.0,10.0,46555276.0
faint_shared,J075934.95+322143.3,26.0,10.0,3857009910.0
faint_shared,J075934.95+322143.3,27.0,10.0,1083134162.0
faint_shared,J075934.95+322143.3,28.0,10.0,2107613157.0
faint_shared,J075934.95+322143.3,29.0,10.0,2707996021.0
faint_shared,J075934.95+322143.3,30.0,10.0,2674392996.0
faint_shared,J075934.95+322143.3,31.0,10.0,1426609771.0
faint_shared,J075934.95+322143.3,32.0,10.0,2813766120.0
faint_shared,J075934.95+322143.3,33.0,10.0,3111538169.0
faint_shared,J075934.95+322143.3,34.0,10.0,3308027553.0
faint_shared,J075934.95+322143.3,35.0,10.0,3195855080.0
faint_shared,J075934.95+322143.3,36.0,10.0,2545559237.0
faint_shared,J075934.95+322143.3,37.0,10.0,852949997.0
faint_shared,J075934.95+322143.3,38.0,10.0,883675696.0
faint_shared,J075934.95+322143.3,39.0,10.0,3608009798.0
faint_shared,J075934.95+322143.3,40.0,10.0,3155914884.0
faint_shared,J075934.95+322143.3,41.0,10.0,3145134386.0
faint_shared,J075934.95+322143.3,42.0,10.0,2145576311.0
faint_shared,J075934.95+322143.3,43.0,10.0,3599074168.0
faint_shared,J075934.95+322143.3,44.0,10.0,410481466.0
faint_shared,J075934.95+322143.3,45.0,10.0,2626220132.0
faint_shared,J075934.95+322143.3,46.0,10.0,3889702687.0
faint_shared,J075934.95+322143.3,47.0,10.0,1418990503.0
faint_shared,J075934.95+322143.3,48.0,10.0,4272759130.0
faint_shared,J075934.95+322143.3,49.0,10.0,4285673650.0
faint_shared,J075934.95+322143.3,0.0,5.0,3554635528.0
faint_shared,J075934.95+322143.3,1.0,5.0,4126172239.0
faint_shared,J075934.95+322143.3,2.0,5.0,697734469.0
faint_shared,J075934.95+322143.3,3.0,5.0,3823624720.0
faint_shared,J075934.95+322143.3,4.0,5.0,3083218031.0
faint_shared,J075934.95+322143.3,5.0,5.0,1288389382.0
faint_shared,J075934.95+322143.3,6.0,5.0,596628185.0
faint_shared,J075934.95+322143.3,7.0,5.0,3888843326.0
faint_shared,J075934.95+322143.3,8.0,5.0,737671308.0
faint_shared,J075934.95+322143.3,9.0,5.0,1076602266.0
faint_shared,J075934.95+322143.3,10.0,5.0,1585093012.0
faint_shared,J075934.95+322143.3,11.0,5.0,4064096156.0
faint_shared,J075934.95+322143.3,12.0,5.0,1524057060.0
faint_shared,J075934.95+322143.3,13.0,5.0,1811167059.0
faint_shared,J075934.95+322143.3,14.0,5.0,244203396.0
faint_shared,J075934.95+322143.3,15.0,5.0,3715320594.0
faint_shared,J075934.95+322143.3,16.0,5.0,1196872262.0
faint_shared,J075934.95+322143.3,17.0,5.0,2470966178.0
faint_shared,J075934.95+322143.3,18.0,5.0,2868879592.0
faint_shared,J075934.95+322143.3,19.0,5.0,1282399756.0
faint_shared,J075934.95+322143.3,20.0,5.0,2309129564.0
faint_shared,J075934.95+322143.3,21.0,5.0,155334522.0
faint_shared,J075934.95+322143.3,22.0,5.0,3545380492.0
faint_shared,J075934.95+322143.3,23.0,5.0,4029677070.0
faint_shared,J075934.95+322143.3,24.0,5.0,4162152182.0
faint_shared,J075934.95+322143.3,25.0,5.0,2922408672.0
faint_shared,J075934.95+322143.3,26.0,5.0,320435201.0
faint_shared,J075934.95+322143.3,27.0,5.0,246011799.0
faint_shared,J075934.95+322143.3,28.0,5.0,1636482196.0
faint_shared,J075934.95+322143.3,29.0,5.0,2547494567.0
faint_shared,J075934.95+322143.3,30.0,5.0,3480813614.0
faint_shared,J075934.95+322143.3,31.0,5.0,1814144802.0
faint_shared,J075934.95+322143.3,32.0,5.0,3824544735.0
faint_shared,J075934.95+322143.3,33.0,5.0,2471933825.0
faint_shared,J075934.95+322143.3,34.0,5.0,1171361617.0
faint_shared,J075934.95+322143.3,35.0,5.0,2018144626.0
faint_shared,J075934.95+322143.3,36.0,5.0,829382760.0
faint_shared,J075934.95+322143.3,37.0,5.0,702300513.0
faint_shared,J075934.95+322143.3,38.0,5.0,1117554126.0
faint_shared,J075934.95+322143.3,39.0,5.0,3879652620.0
faint_shared,J075934.95+322143.3,40.0,5.0,1312794659.0
faint_shared,J075934.95+322143.3,41.0,5.0,3762392709.0
faint_shared,J075934.95+322143.3,42.0,5.0,4040042596.0
faint_shared,J075934.95+322143.3,43.0,5.0,2589387595.0
faint_shared,J075934.95+322143.3,44.0,5.0,3227788986.0
faint_shared,J075934.95+322143.3,45.0,5.0,1516466033.0
faint_shared,J075934.95+322143.3,46.0,5.0,3338255428.0
faint_shared,J075934.95+322143.3,47.0,5.0,1839408382.0
faint_shared,J075934.95+322143.3,48.0,5.0,4193255902.0
faint_shared,J075934.95+322143.3,49.0,5.0,3301353124.0
faint_shared,J080133.29+341737.6,0.0,10.0,999572650.0
faint_shared,J080133.29+341737.6,1.0,10.0,2849064571.0
faint_shared,J080133.29+341737.6,2.0,10.0,1263226407.0
faint_shared,J080133.29+341737.6,3.0,10.0,3163163346.0
faint_shared,J080133.29+341737.6,4.0,10.0,2846152774.0
faint_shared,J080133.29+341737.6,5.0,10.0,1672222499.0
faint_shared,J080133.29+341737.6,6.0,10.0,2587449901.0
faint_shared,J080133.29+341737.6,7.0,10.0,2572444958.0
faint_shared,J080133.29+341737.6,8.0,10.0,3499571703.0
faint_shared,J080133.29+341737.6,9.0,10.0,1140320177.0
faint_shared,J080133.29+341737.6,10.0,10.0,136503545.0
faint_shared,J080133.29+341737.6,11.0,10.0,523301362.0
faint_shared,J080133.29+341737.6,12.0,10.0,3982480264.0
faint_shared,J080133.29+341737.6,13.0,10.0,3279600803.0
faint_shared,J080133.29+341737.6,14.0,10.0,1656963866.0
faint_shared,J080133.29+341737.6,15.0,10.0,2129199589.0
faint_shared,J080133.29+341737.6,16.0,10.0,3522828488.0
faint_shared,J080133.29+341737.6,17.0,10.0,71603045.0
faint_shared,J080133.29+341737.6,18.0,10.0,2826217479.0
faint_shared,J080133.29+341737.6,19.0,10.0,534132867.0
faint_shared,J080133.29+341737.6,20.0,10.0,1994608701.0
faint_shared,J080133.29+341737.6,21.0,10.0,2835967330.0
faint_shared,J080133.29+341737.6,22.0,10.0,2307079116.0
faint_shared,J080133.29+341737.6,23.0,10.0,3925245906.0
faint_shared,J080133.29+341737.6,24.0,10.0,2514084144.0
faint_shared,J080133.29+341737.6,25.0,10.0,3753186136.0
faint_shared,J080133.29+341737.6,26.0,10.0,3124487160.0
faint_shared,J080133.29+341737.6,27.0,10.0,2236268889.0
faint_shared,J080133.29+341737.6,28.0,10.0,1898162782.0
faint_shared,J080133.29+341737.6,29.0,10.0,2917242832.0
faint_shared,J080133.29+341737.6,30.0,10.0,190646649.0
faint_shared,J080133.29+341737.6,31.0,10.0,2047504401.0
faint_shared,J080133.29+341737.6,32.0,10.0,3731335766.0
faint_shared,J080133.29+341737.6,33.0,10.0,3435560176.0
faint_shared,J080133.29+341737.6,34.0,10.0,4168844905.0
faint_shared,J080133.29+341737.6,35.0,10.0,3706946992.0
faint_shared,J080133.29+341737.6,36.0,10.0,2432360490.0
faint_shared,J080133.29+341737.6,37.0,10.0,2812610044.0
faint_shared,J080133.29+341737.6,38.0,10.0,2060628955.0
faint_shared,J080133.29+341737.6,39.0,10.0,2671445032.0
faint_shared,J080133.29+341737.6,40.0,10.0,3810387471.0
faint_shared,J080133.29+341737.6,41.0,10.0,243415048.0
faint_shared,J080133.29+341737.6,42.0,10.0,2313865724.0
faint_shared,J080133.29+341737.6,43.0,10.0,932279060.0
faint_shared,J080133.29+341737.6,44.0,10.0,3408327316.0
faint_shared,J080133.29+341737.6,45.0,10.0,3787035804.0
faint_shared,J080133.29+341737.6,46.0,10.0,1331966566.0
faint_shared,J080133.29+341737.6,47.0,10.0,2189836770.0
faint_shared,J080133.29+341737.6,48.0,10.0,3723443049.0
faint_shared,J080133.29+341737.6,49.0,10.0,3911305868.0
faint_shared,J080133.29+341737.6,0.0,5.0,1647563080.0
faint_shared,J080133.29+341737.6,1.0,5.0,2872463218.0
faint_shared,J080133.29+341737.6,2.0,5.0,735525427.0
faint_shared,J080133.29+341737.6,3.0,5.0,1984266099.0
faint_shared,J080133.29+341737.6,4.0,5.0,1143326603.0
faint_shared,J080133.29+341737.6,5.0,5.0,1339091857.0
faint_shared,J080133.29+341737.6,6.0,5.0,405075287.0
faint_shared,J080133.29+341737.6,7.0,5.0,1890657615.0
faint_shared,J080133.29+341737.6,8.0,5.0,3881568648.0
faint_shared,J080133.29+341737.6,9.0,5.0,777900503.0
faint_shared,J080133.29+341737.6,10.0,5.0,1466838343.0
faint_shared,J080133.29+341737.6,11.0,5.0,3565325658.0
faint_shared,J080133.29+341737.6,12.0,5.0,2550866740.0
faint_shared,J080133.29+341737.6,13.0,5.0,484443241.0
faint_shared,J080133.29+341737.6,14.0,5.0,90410332.0
faint_shared,J080133.29+341737.6,15.0,5.0,1707914864.0
faint_shared,J080133.29+341737.6,16.0,5.0,698856302.0
faint_shared,J080133.29+341737.6,17.0,5.0,577246123.0
faint_shared,J080133.29+341737.6,18.0,5.0,1411984989.0
faint_shared,J080133.29+341737.6,19.0,5.0,3727727786.0
faint_shared,J080133.29+341737.6,20.0,5.0,93154172.0
faint_shared,J080133.29+341737.6,21.0,5.0,2563806240.0
faint_shared,J080133.29+341737.6,22.0,5.0,3735581337.0
faint_shared,J080133.29+341737.6,23.0,5.0,2752069282.0
faint_shared,J080133.29+341737.6,24.0,5.0,2060357187.0
faint_shared,J080133.29+341737.6,25.0,5.0,997906201.0
faint_shared,J080133.29+341737.6,26.0,5.0,3082463899.0
faint_shared,J080133.29+341737.6,27.0,5.0,2918263384.0
faint_shared,J080133.29+341737.6,28.0,5.0,3725277227.0
faint_shared,J080133.29+341737.6,29.0,5.0,3323841485.0
faint_shared,J080133.29+341737.6,30.0,5.0,465150316.0
faint_shared,J080133.29+341737.6,31.0,5.0,3119308588.0
faint_shared,J080133.29+341737.6,32.0,5.0,1848298556.0
faint_shared,J080133.29+341737.6,33.0,5.0,1546517807.0
faint_shared,J080133.29+341737.6,34.0,5.0,1372162072.0
faint_shared,J080133.29+341737.6,35.0,5.0,2012937014.0
faint_shared,J080133.29+341737.6,36.0,5.0,2030063269.0
faint_shared,J080133.29+341737.6,37.0,5.0,2932929908.0
faint_shared,J080133.29+341737.6,38.0,5.0,2651595876.0
faint_shared,J080133.29+341737.6,39.0,5.0,2022954465.0
faint_shared,J080133.29+341737.6,40.0,5.0,2293654084.0
faint_shared,J080133.29+341737.6,41.0,5.0,464093372.0
faint_shared,J080133.29+341737.6,42.0,5.0,3869958747.0
faint_shared,J080133.29+341737.6,43.0,5.0,872499119.0
faint_shared,J080133.29+341737.6,44.0,5.0,1541219819.0
faint_shared,J080133.29+341737.6,45.0,5.0,1233121595.0
faint_shared,J080133.29+341737.6,46.0,5.0,2634988682.0
faint_shared,J080133.29+341737.6,47.0,5.0,3727595803.0
faint_shared,J080133.29+341737.6,48.0,5.0,981849880.0
faint_shared,J080133.29+341737.6,49.0,5.0,97687774.0
faint_shared,J080711.72+194439.7,0.0,10.0,3469291590.0
faint_shared,J080711.72+194439.7,1.0,10.0,2203605765.0
faint_shared,J080711.72+194439.7,2.0,10.0,3250155188.0
faint_shared,J080711.72+194439.7,3.0,10.0,4090148265.0
faint_shared,J080711.72+194439.7,4.0,10.0,2954347525.0
faint_shared,J080711.72+194439.7,5.0,10.0,572504327.0
faint_shared,J080711.72+194439.7,6.0,10.0,2201939677.0
faint_shared,J080711.72+194439.7,7.0,10.0,3241365184.0
