selection_scope,arm,snr,criterion_id,N_reference,N_eligible_for_rung,N_classifier_applicable,N_transition_eligible,N_transition_classifiable,N_source_families,N_eligible_realizations,N_fit_completed,N_fit_valid,N_classifiable,N_CL,N_nonCL,N_unclassifiable,R_equal_transition,U_equal_transition,raw_realization_recovery_fraction_descriptive,bootstrap_clusters,bootstrap_n,R_ci_low,R_ci_high,U_ci_low,U_ci_high
PRIMARY_GOLD,faint_only,5,GREEN2022_FINAL,58,48,44,48,44,9,2400,2200,2200,2200,723,1477,200,0.32863636363636367,0.08333333333333333,0.3286363636363636,object_id,5000,0.22084330074755606,0.44565859683794457,0.020833333333333332,0.16666666666666666
PRIMARY_GOLD,faint_only,5,MACLEOD2019_FINAL,58,48,0,48,0,9,2400,0,0,0,0,0,2400,,1.0,,object_id,5000,,,1.0,1.0
PRIMARY_GOLD,faint_only,5,YANG2024_FINAL,58,48,38,48,29,9,2400,1900,643,643,255,388,1757,0.41706646429877264,0.7320833333333333,0.3965785381026439,object_id,5000,0.29775773505375247,0.5381297172265762,0.6474895833333333,0.8125104166666666
PRIMARY_GOLD,faint_only,10,GREEN2022_FINAL,58,29,27,29,27,9,1450,1350,1350,1350,774,576,100,0.5733333333333334,0.06896551724137931,0.5733333333333334,object_id,5000,0.4055946153846154,0.7324137931034482,0.0,0.1724137931034483
PRIMARY_GOLD,faint_only,10,MACLEOD2019_FINAL,58,29,0,29,0,9,1450,0,0,0,0,0,1450,,1.0,,object_id,5000,,,1.0,1.0
PRIMARY_GOLD,faint_only,10,YANG2024_FINAL,58,29,23,29,17,9,1450,1150,372,372,115,257,1078,0.3844764377368852,0.7434482758620691,0.30913978494623656,object_id,5000,0.18645735606695793,0.5958791867975347,0.6400000000000001,0.8420689655172413
PRIMARY_GOLD,matched,5,GREEN2022_FINAL,58,47,43,47,43,9,2350,2150,2150,2150,284,1866,200,0.13209302325581396,0.0851063829787234,0.13209302325581396,object_id,5000,0.06347667020148462,0.21800348837209294,0.02127659574468085,0.1702127659574468
PRIMARY_GOLD,matched,5,MACLEOD2019_FINAL,58,47,0,47,0,9,2350,0,0,0,0,0,2350,,1.0,,object_id,5000,,,1.0,1.0
PRIMARY_GOLD,matched,5,YANG2024_FINAL,58,47,40,47,40,9,2350,2000,718,718,263,455,1632,0.3897004063811377,0.694468085106383,0.36629526462395545,object_id,5000,0.30076347313714236,0.4855964253933907,0.6217021276595746,0.7655425531914893
PRIMARY_GOLD,matched,10,GREEN2022_FINAL,58,27,25,27,25,9,1350,1250,1250,1250,468,782,100,0.37439999999999996,0.07407407407407407,0.3744,object_id,5000,0.23083333333333333,0.532806923076923,0.0,0.18518518518518517
PRIMARY_GOLD,matched,10,MACLEOD2019_FINAL,58,27,0,27,0,9,1350,0,0,0,0,0,1350,,1.0,,object_id,5000,,,1.0,1.0
PRIMARY_GOLD,matched,10,YANG2024_FINAL,58,27,24,27,23,9,1350,1200,442,442,118,324,908,0.35587824928413586,0.6725925925925926,0.2669683257918552,object_id,5000,0.20974762831240973,0.5108954589694397,0.5785185185185185,0.7666666666666666
GOLD_PLUS_SILVER,faint_only,5,GREEN2022_FINAL,62,52,48,52,48,10,2600,2400,2400,2400,786,1614,200,0.32750000000000007,0.07692307692307693,0.3275,object_id,5000,0.22208227040816325,0.4436753826530612,0.019230769230769232,0.15384615384615385
GOLD_PLUS_SILVER,faint_only,5,MACLEOD2019_FINAL,62,52,0,52,0,10,2600,0,0,0,0,0,2600,,1.0,,object_id,5000,,,1.0,1.0
GOLD_PLUS_SILVER,faint_only,5,YANG2024_FINAL,62,52,42,52,33,10,2600,2100,769,769,264,505,1831,0.37817721513894065,0.7042307692307692,0.3433029908972692,object_id,5000,0.26658575933114176,0.49368389023479764,0.6211442307692306,0.7842403846153846
GOLD_PLUS_SILVER,faint_only,10,GREEN2022_FINAL,62,33,31,33,31,10,1650,1550,1550,1550,902,648,100,0.5819354838709677,0.06060606060606061,0.5819354838709677,object_id,5000,0.42969648093841645,0.730008064516129,0.0,0.15151515151515152
GOLD_PLUS_SILVER,faint_only,10,MACLEOD2019_FINAL,62,33,0,33,0,10,1650,0,0,0,0,0,1650,,1.0,,object_id,5000,,,1.0,1.0
GOLD_PLUS_SILVER,faint_only,10,YANG2024_FINAL,62,33,27,33,21,10,1650,1350,489,489,118,371,1161,0.32223184153791806,0.7036363636363636,0.24130879345603273,object_id,5000,0.1542495485422565,0.5032844588656441,0.5987878787878788,0.8018333333333331
GOLD_PLUS_SILVER,matched,5,GREEN2022_FINAL,62,51,47,51,47,10,2550,2350,2350,2350,294,2056,200,0.1251063829787234,0.0784313725490196,0.1251063829787234,object_id,5000,0.058695652173913045,0.20383186864014796,0.0196078431372549,0.1568627450980392
GOLD_PLUS_SILVER,matched,5,MACLEOD2019_FINAL,62,51,0,51,0,10,2550,0,0,0,0,0,2550,,1.0,,object_id,5000,,,1.0,1.0
GOLD_PLUS_SILVER,matched,5,YANG2024_FINAL,62,51,44,51,44,10,2550,2200,801,801,273,528,1749,0.36545912579896755,0.6858823529411765,0.3408239700374532,object_id,5000,0.2786730938192604,0.4562728935543424,0.6184313725490197,0.7533333333333334
GOLD_PLUS_SILVER,matched,10,GREEN2022_FINAL,62,31,29,31,29,10,1550,1450,1450,1450,542,908,100,0.3737931034482759,0.06451612903225806,0.3737931034482759,object_id,5000,0.2419204301075269,0.5157179802955664,0.0,0.16129032258064516
GOLD_PLUS_SILVER,matched,10,MACLEOD2019_FINAL,62,31,0,31,0,10,1550,0,0,0,0,0,1550,,1.0,,object_id,5000,,,1.0,1.0
GOLD_PLUS_SILVER,matched,10,YANG2024_FINAL,62,31,28,31,27,10,1550,1400,535,535,119,416,1015,0.30844655097749146,0.6548387096774193,0.22242990654205608,object_id,5000,0.17593003216571765,0.45787962740231924,0.5619193548387097,0.7438709677419352
DISCOVERY_INDEPENDENT_GOLD,faint_only,5,GREEN2022_FINAL,56,46,42,46,42,8,2300,2100,2100,2100,685,1415,200,0.3261904761904762,0.08695652173913043,0.3261904761904762,object_id,5000,0.21523492063492064,0.4490136363636361,0.021739130434782608,0.17391304347826086
DISCOVERY_INDEPENDENT_GOLD,faint_only,5,YANG2024_FINAL,58,48,38,48,29,9,2400,1900,643,643,255,388,1757,0.41706646429877264,0.7320833333333333,0.3965785381026439,object_id,5000,0.2973617642074643,0.5387471077333101,0.6470729166666667,0.8129270833333333
DISCOVERY_INDEPENDENT_GOLD,faint_only,10,GREEN2022_FINAL,56,27,25,27,25,8,1350,1250,1250,1250,717,533,100,0.5736,0.07407407407407407,0.5736,object_id,5000,0.39851709401709406,0.7385347222222219,0.0,0.18518518518518517
DISCOVERY_INDEPENDENT_GOLD,faint_only,10,YANG2024_FINAL,58,29,23,29,17,9,1450,1150,372,372,115,257,1078,0.3844764377368852,0.7434482758620691,0.30913978494623656,object_id,5000,0.1875304387108682,0.5885267857142856,0.6379310344827587,0.8420689655172413
DISCOVERY_INDEPENDENT_GOLD,matched,5,GREEN2022_FINAL,56,45,41,45,41,8,2250,2050,2050,2050,282,1768,200,0.13756097560975608,0.08888888888888889,0.1375609756097561,object_id,5000,0.0652625313283208,0.22600476190476187,0.022222222222222223,0.17777777777777778
DISCOVERY_INDEPENDENT_GOLD,matched,5,YANG2024_FINAL,58,47,40,47,40,9,2350,2000,718,718,263,455,1632,0.3897004063811377,0.694468085106383,0.36629526462395545,object_id,5000,0.29946496768685704,0.48155060081689044,0.6204148936170214,0.7642659574468084
DISCOVERY_INDEPENDENT_GOLD,matched,10,GREEN2022_FINAL,56,25,23,25,23,8,1250,1150,1150,1150,418,732,100,0.3634782608695652,0.08,0.3634782608695652,object_id,5000,0.22332142857142853,0.5114383116883116,0.0,0.2
