arm,snr,criterion_id,N_families_eligible,N_families_classifiable,R_equal_family,U_equal_family
faint_only,5,GREEN2022_FINAL,9,9,0.5223751803751804,0.02722222222222222
faint_only,5,MACLEOD2019_FINAL,9,0,,1.0
faint_only,5,YANG2024_FINAL,9,8,0.5098981992814238,0.789537037037037
faint_only,10,GREEN2022_FINAL,9,9,0.6872619047619046,0.022222222222222223
faint_only,10,MACLEOD2019_FINAL,9,0,,1.0
faint_only,10,YANG2024_FINAL,9,7,0.49103141261505856,0.7941111111111111
matched,5,GREEN2022_FINAL,9,9,0.21838383838383837,0.02722222222222222
matched,5,MACLEOD2019_FINAL,9,0,,1.0
matched,5,YANG2024_FINAL,9,8,0.48993574027005643,0.7563222222222222
matched,10,GREEN2022_FINAL,9,9,0.5190740740740741,0.022222222222222223
matched,10,MACLEOD2019_FINAL,9,0,,1.0
matched,10,YANG2024_FINAL,9,7,0.47948189865346985,0.751037037037037
