sweep,f_at_snr5,f_at_snr10,arm,N_paired,mean_delta_p,median_delta_p
symmetric,0.0,0.0,faint_only,27,0.2896296296296296,0.12000000000000001
symmetric,0.0,0.0,matched,25,0.2592,0.18
symmetric,0.1,0.1,faint_only,27,0.2859259259259259,0.06
symmetric,0.1,0.1,matched,25,0.22639999999999996,0.12
symmetric,0.25,0.25,faint_only,27,0.2874074074074074,0.020000000000000018
symmetric,0.25,0.25,matched,25,0.19119999999999998,0.04
symmetric,0.5,0.5,faint_only,27,0.2762962962962963,0.04
symmetric,0.5,0.5,matched,25,0.1472,0.02
symmetric,1.0,1.0,faint_only,27,0.222962962962963,0.0
symmetric,1.0,1.0,matched,25,0.0704,0.0
symmetric,2.0,2.0,faint_only,27,0.08148148148148147,0.0
symmetric,2.0,2.0,matched,25,0.0176,0.0
symmetric,4.0,4.0,faint_only,27,0.022222222222222216,0.0
symmetric,4.0,4.0,matched,25,0.0384,0.0
symmetric,9.0,9.0,faint_only,27,0.02962962962962963,0.0
symmetric,9.0,9.0,matched,25,0.0472,0.0
symmetric,24.0,24.0,faint_only,27,0.003703703703703704,0.0
symmetric,24.0,24.0,matched,25,0.0024,0.0
symmetric,99.0,99.0,faint_only,27,0.0,0.0
symmetric,99.0,99.0,matched,25,0.0064,0.0
asymmetric,0.25,0.0,faint_only,27,0.3548148148148148,0.14
asymmetric,0.25,0.0,matched,25,0.268,0.18
asymmetric,0.5,0.0,faint_only,27,0.39333333333333337,0.18000000000000005
asymmetric,0.5,0.0,matched,25,0.272,0.18
asymmetric,1.0,0.0,faint_only,27,0.43555555555555564,0.44
asymmetric,1.0,0.0,matched,25,0.2752,0.18
asymmetric,2.0,0.0,faint_only,27,0.45333333333333337,0.48
asymmetric,2.0,0.0,matched,25,0.28,0.18
asymmetric,4.0,0.0,faint_only,27,0.46740740740740744,0.48
asymmetric,4.0,0.0,matched,25,0.3176,0.2
asymmetric,0.5,0.25,faint_only,27,0.32592592592592595,0.18
asymmetric,0.5,0.25,matched,25,0.19520000000000004,0.04
asymmetric,1.0,0.5,faint_only,27,0.3185185185185186,0.04
asymmetric,1.0,0.5,matched,25,0.15039999999999998,0.02
asymmetric,2.0,1.0,faint_only,27,0.24074074074074073,0.04
asymmetric,2.0,1.0,matched,25,0.07519999999999999,0.0
