robustness,arm,snr,criterion_id,omitted_unit,N_transition_eligible,N_transition_classifiable,R_equal_transition,U_equal_transition
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,23,22,0.3681818181818182,0.043478260869565216
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Green2022,46,42,0.3261904761904762,0.08695652173913043
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,LaMassa2015,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,MacLeod2016,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Potts2021,45,41,0.3307317073170732,0.08888888888888889
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Ruan2016,46,42,0.32952380952380955,0.08695652173913043
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Runnoe2016,47,43,0.3130232558139535,0.0851063829787234
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Yang2025_turn_on,43,39,0.36205128205128206,0.09302325581395349
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,GREEN2022_FINAL,Zeltyn2024_SDSSV,40,37,0.32378378378378386,0.075
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,23,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,MACLEOD2019_FINAL,Green2022,46,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,MACLEOD2019_FINAL,LaMassa2015,47,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,MACLEOD2019_FINAL,MacLeod2016,47,0,,1.0
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,5,MACLEOD2019_FINAL,Potts2021,45,0,,1.0
