arm,snr,criterion_id,source_family,N_transition_eligible,N_transition_classifiable,family_R,family_U
faint_only,5,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,25,22,0.28909090909090907,0.12
faint_only,5,GREEN2022_FINAL,Green2022,2,2,0.38,0.0
faint_only,5,GREEN2022_FINAL,LaMassa2015,1,1,1.0,0.0
faint_only,5,GREEN2022_FINAL,MacLeod2016,1,1,1.0,0.0
faint_only,5,GREEN2022_FINAL,Potts2021,3,3,0.3,0.0
faint_only,5,GREEN2022_FINAL,Ruan2016,2,2,0.31,0.0
faint_only,5,GREEN2022_FINAL,Runnoe2016,1,1,1.0,0.0
faint_only,5,GREEN2022_FINAL,Yang2025_turn_on,5,5,0.068,0.0
faint_only,5,GREEN2022_FINAL,Zeltyn2024_SDSSV,8,7,0.35428571428571426,0.125
faint_only,5,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,25,0,,1.0
faint_only,5,MACLEOD2019_FINAL,Green2022,2,0,,1.0
faint_only,5,MACLEOD2019_FINAL,LaMassa2015,1,0,,1.0
faint_only,5,MACLEOD2019_FINAL,MacLeod2016,1,0,,1.0
faint_only,5,MACLEOD2019_FINAL,Potts2021,3,0,,1.0
faint_only,5,MACLEOD2019_FINAL,Ruan2016,2,0,,1.0
faint_only,5,MACLEOD2019_FINAL,Runnoe2016,1,0,,1.0
faint_only,5,MACLEOD2019_FINAL,Yang2025_turn_on,5,0,,1.0
faint_only,5,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,8,0,,1.0
faint_only,5,YANG2024_FINAL,Dong2025_SDSS_LAMOST,25,15,0.43362690910937196,0.6839999999999999
faint_only,5,YANG2024_FINAL,Green2022,2,2,0.4318181818181818,0.5800000000000001
faint_only,5,YANG2024_FINAL,LaMassa2015,1,0,,1.0
faint_only,5,YANG2024_FINAL,MacLeod2016,1,1,0.9444444444444444,0.64
faint_only,5,YANG2024_FINAL,Potts2021,3,1,0.0,0.9133333333333334
faint_only,5,YANG2024_FINAL,Ruan2016,2,1,0.8,0.9
faint_only,5,YANG2024_FINAL,Runnoe2016,1,1,0.9,0.8
faint_only,5,YANG2024_FINAL,Yang2025_turn_on,5,2,0.3333333333333333,0.9359999999999999
faint_only,5,YANG2024_FINAL,Zeltyn2024_SDSSV,8,6,0.23596272554605888,0.6525
faint_only,10,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,10,8,0.5125,0.2
faint_only,10,GREEN2022_FINAL,Green2022,2,2,0.5700000000000001,0.0
faint_only,10,GREEN2022_FINAL,LaMassa2015,1,1,1.0,0.0
faint_only,10,GREEN2022_FINAL,MacLeod2016,1,1,1.0,0.0
faint_only,10,GREEN2022_FINAL,Potts2021,2,2,0.5,0.0
faint_only,10,GREEN2022_FINAL,Ruan2016,1,1,0.82,0.0
faint_only,10,GREEN2022_FINAL,Runnoe2016,1,1,1.0,0.0
faint_only,10,GREEN2022_FINAL,Yang2025_turn_on,4,4,0.02,0.0
faint_only,10,GREEN2022_FINAL,Zeltyn2024_SDSSV,7,7,0.7628571428571428,0.0
faint_only,10,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,10,0,,1.0
faint_only,10,MACLEOD2019_FINAL,Green2022,2,0,,1.0
faint_only,10,MACLEOD2019_FINAL,LaMassa2015,1,0,,1.0
faint_only,10,MACLEOD2019_FINAL,MacLeod2016,1,0,,1.0
faint_only,10,MACLEOD2019_FINAL,Potts2021,2,0,,1.0
faint_only,10,MACLEOD2019_FINAL,Ruan2016,1,0,,1.0
faint_only,10,MACLEOD2019_FINAL,Runnoe2016,1,0,,1.0
faint_only,10,MACLEOD2019_FINAL,Yang2025_turn_on,4,0,,1.0
faint_only,10,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,7,0,,1.0
faint_only,10,YANG2024_FINAL,Dong2025_SDSS_LAMOST,10,5,0.2717992831541219,0.692
faint_only,10,YANG2024_FINAL,Green2022,2,2,0.45,0.61
faint_only,10,YANG2024_FINAL,LaMassa2015,1,0,,1.0
faint_only,10,YANG2024_FINAL,MacLeod2016,1,1,0.95,0.6
faint_only,10,YANG2024_FINAL,Potts2021,2,1,0.0,0.75
faint_only,10,YANG2024_FINAL,Ruan2016,1,0,,1.0
faint_only,10,YANG2024_FINAL,Runnoe2016,1,1,1.0,0.88
faint_only,10,YANG2024_FINAL,Yang2025_turn_on,4,2,0.5,0.955
faint_only,10,YANG2024_FINAL,Zeltyn2024_SDSSV,7,5,0.26542060515128785,0.66
matched,5,GREEN2022_FINAL,Dong2025_SDSS_LAMOST,25,22,0.12545454545454546,0.12
matched,5,GREEN2022_FINAL,Green2022,2,2,0.02,0.0
matched,5,GREEN2022_FINAL,LaMassa2015,1,1,0.26,0.0
matched,5,GREEN2022_FINAL,MacLeod2016,1,1,0.22,0.0
matched,5,GREEN2022_FINAL,Potts2021,3,3,0.02,0.0
matched,5,GREEN2022_FINAL,Ruan2016,2,2,0.18,0.0
matched,5,GREEN2022_FINAL,Runnoe2016,1,1,1.0,0.0
matched,5,GREEN2022_FINAL,Yang2025_turn_on,4,4,0.0,0.0
matched,5,GREEN2022_FINAL,Zeltyn2024_SDSSV,8,7,0.13999999999999999,0.125
matched,5,MACLEOD2019_FINAL,Dong2025_SDSS_LAMOST,25,0,,1.0
matched,5,MACLEOD2019_FINAL,Green2022,2,0,,1.0
matched,5,MACLEOD2019_FINAL,LaMassa2015,1,0,,1.0
matched,5,MACLEOD2019_FINAL,MacLeod2016,1,0,,1.0
matched,5,MACLEOD2019_FINAL,Potts2021,3,0,,1.0
matched,5,MACLEOD2019_FINAL,Ruan2016,2,0,,1.0
matched,5,MACLEOD2019_FINAL,Runnoe2016,1,0,,1.0
matched,5,MACLEOD2019_FINAL,Yang2025_turn_on,4,0,,1.0
matched,5,MACLEOD2019_FINAL,Zeltyn2024_SDSSV,8,0,,1.0
matched,5,YANG2024_FINAL,Dong2025_SDSS_LAMOST,25,20,0.39613215344759356,0.6544000000000001
matched,5,YANG2024_FINAL,Green2022,2,2,0.3961988304093567,0.63
matched,5,YANG2024_FINAL,LaMassa2015,1,0,,1.0
matched,5,YANG2024_FINAL,MacLeod2016,1,1,0.8666666666666667,0.7
matched,5,YANG2024_FINAL,Potts2021,3,3,0.20472163495419307,0.6
matched,5,YANG2024_FINAL,Ruan2016,2,2,0.6517857142857143,0.85
matched,5,YANG2024_FINAL,Runnoe2016,1,1,0.8888888888888888,0.82
