condition_id,transition_id,object_id,reference_tier,source_family,arm,snr,criterion_id,N_eligible_realizations,N_fit_completed,N_fit_valid,N_classifiable,N_CL,N_nonCL,N_unclassifiable,p_i,u_i,applicable_by_design
J075934.95+322143.3|faint_only|snr10,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,50,50,50,50,50,0,0,1.0,0.0,True
J075934.95+322143.3|faint_only|snr10,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J075934.95+322143.3|faint_only|snr10,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,50,50,43,43,2,41,7,0.046511627906976744,0.14,True
J075934.95+322143.3|faint_only|snr5,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,50,50,50,50,34,16,0,0.68,0.0,True
J075934.95+322143.3|faint_only|snr5,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J075934.95+322143.3|faint_only|snr5,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,50,50,39,39,8,31,11,0.20512820512820512,0.22,True
J075934.95+322143.3|matched|snr10,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,50,50,50,50,14,36,0,0.28,0.0,True
J075934.95+322143.3|matched|snr10,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J075934.95+322143.3|matched|snr10,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,50,50,41,41,14,27,9,0.34146341463414637,0.18,True
J075934.95+322143.3|matched|snr5,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J075934.95+322143.3|matched|snr5,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J075934.95+322143.3|matched|snr5,J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,50,50,34,34,12,22,16,0.35294117647058826,0.32,True
J080133.29+341737.6|faint_only|snr10,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,50,50,50,50,49,1,0,0.98,0.0,True
J080133.29+341737.6|faint_only|snr10,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080133.29+341737.6|faint_only|snr10,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,YANG2024_FINAL,50,50,8,8,3,5,42,0.375,0.84,True
J080133.29+341737.6|faint_only|snr5,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,GREEN2022_FINAL,50,50,50,50,9,41,0,0.18,0.0,True
J080133.29+341737.6|faint_only|snr5,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080133.29+341737.6|faint_only|snr5,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,YANG2024_FINAL,50,50,9,9,4,5,41,0.4444444444444444,0.82,True
J080133.29+341737.6|matched|snr10,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,GREEN2022_FINAL,50,50,50,50,10,40,0,0.2,0.0,True
J080133.29+341737.6|matched|snr10,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080133.29+341737.6|matched|snr10,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,YANG2024_FINAL,50,50,8,8,3,5,42,0.375,0.84,True
J080133.29+341737.6|matched|snr5,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,GREEN2022_FINAL,50,50,50,50,0,50,0,0.0,0.0,True
J080133.29+341737.6|matched|snr5,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
J080133.29+341737.6|matched|snr5,J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,YANG2024_FINAL,50,50,7,7,3,4,43,0.42857142857142855,0.86,True
J080711.72+194439.7|faint_only|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,GREEN2022_FINAL,50,50,50,50,24,26,0,0.48,0.0,True
J080711.72+194439.7|faint_only|snr10,J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,MACLEOD2019_FINAL,50,0,0,0,0,0,50,,1.0,False
