criterion_id,reason,N
GREEN2022_FINAL,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,600
MACLEOD2019_FINAL,FINAL_CLASSIFIER_ROW_NON_DENOMINATOR_WHEN_UNCLASSIFIABLE,8350
YANG2024_FINAL,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,2735
YANG2024_FINAL,FINAL_CLASSIFIER_DENOMINATOR_IF_CLASSIFIABLE,1300
YANG2024_FINAL,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,443
YANG2024_FINAL,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,417
YANG2024_FINAL,invalid Yang Hbeta fit: BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,409
YANG2024_FINAL,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,83
YANG2024_FINAL,invalid Yang Hbeta fit: CONTINUUM_INVALID|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,76
YANG2024_FINAL,invalid Yang Hbeta fit: BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,47
YANG2024_FINAL,invalid Yang Hbeta fit: CONTINUUM_INVALID,45
YANG2024_FINAL,invalid Yang Hbeta fit: HBETA_OPTIMIZER_FAILED|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,39
YANG2024_FINAL,invalid Yang Hbeta fit: CONTINUUM_INVALID|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,25
YANG2024_FINAL,invalid Yang Hbeta fit: HBETA_OPTIMIZER_FAILED,22
YANG2024_FINAL,invalid Yang Hbeta fit: BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,19
YANG2024_FINAL,invalid Yang Hbeta fit: BROAD_MEASUREMENT_NOT_FINITE_OR_WELL_DEFINED,14
YANG2024_FINAL,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND,12
YANG2024_FINAL,invalid Yang Hbeta fit: BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,10
YANG2024_FINAL,invalid Yang Hbeta fit: ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE|ACTIVE_BROAD_COMPONENT_PARAMETER_AT_BOUND|BROAD_COMPONENT_WIDTH_OUTSIDE_YANG_SOURCE_RANGE,7
