transition_id,object_id,reference_tier,source_family,criterion_id,snr,comparison,p_faint_only,p_matched,delta_p_second_minus_first,u_faint_only,u_matched,delta_u_second_minus_first,N_classifiable_faint_only,N_classifiable_matched
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.68,0.0,-0.68,0.0,0.0,0.0,50,50
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,1.0,0.28,-0.72,0.0,0.0,0.0,50,50
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.20512820512820512,0.35294117647058826,0.14781297134238314,0.22,0.32,0.1,39,34
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.046511627906976744,0.34146341463414637,0.2949517867271696,0.14,0.18,0.03999999999999998,43,41
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.18,0.0,-0.18,0.0,0.0,0.0,50,50
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.98,0.2,-0.78,0.0,0.0,0.0,50,50
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,5,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,10,MATCHED_MINUS_FAINT_ONLY,,,,1.0,1.0,0.0,0,0
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.4444444444444444,0.42857142857142855,-0.015873015873015872,0.82,0.86,0.040000000000000036,9,7
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.375,0.375,0.0,0.84,0.84,0.0,8,8
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,5,MATCHED_MINUS_FAINT_ONLY,0.2,0.0,-0.2,0.0,0.0,0.0,50,50
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,10,MATCHED_MINUS_FAINT_ONLY,0.48,0.04,-0.44,0.0,0.0,0.0,50,50
