transition_id,object_id,reference_tier,source_family,criterion_id,arm,comparison,p_5,p_10,delta_p_second_minus_first,u_5,u_10,delta_u_second_minus_first,N_classifiable_5,N_classifiable_10
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.68,1.0,0.31999999999999995,0.0,0.0,0.0,50,50
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.28,0.28,0.0,0.0,0.0,50,50
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.20512820512820512,0.046511627906976744,-0.15861657722122838,0.22,0.14,-0.07999999999999999,39,43
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.35294117647058826,0.34146341463414637,-0.011477761836441891,0.32,0.18,-0.14,34,41
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.18,0.98,0.8,0.0,0.0,0.0,50,50
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.2,0.2,0.0,0.0,0.0,50,50
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.4444444444444444,0.375,-0.06944444444444442,0.82,0.84,0.020000000000000018,9,8
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.42857142857142855,0.375,-0.05357142857142855,0.86,0.84,-0.020000000000000018,7,8
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.2,0.48,0.27999999999999997,0.0,0.0,0.0,50,50
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.04,0.04,0.0,0.0,0.0,50,50
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.0625,0.03225806451612903,-0.03024193548387097,0.36,0.38,0.020000000000000018,32,31
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.14814814814814814,0.04,-0.10814814814814813,0.46,0.5,0.03999999999999998,27,25
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,1.0,1.0,0.0,0.0,0.0,0.0,50,50
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.98,0.98,0.0,0.0,0.0,0.0,50,50
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.0,0.5,0.5,0.98,0.92,-0.05999999999999994,1,4
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.4,1.0,0.6,0.0,0.0,0.0,50,50
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.7,0.7,0.0,0.0,0.0,50,50
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.037037037037037035,0.04,0.002962962962962966,0.46,0.5,0.03999999999999998,27,25
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.08695652173913043,0.05,-0.03695652173913043,0.54,0.6,0.05999999999999994,23,20
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.02,0.02,0.0,0.0,0.0,50,50
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.0,0.0,0.74,0.88,0.14,13,6
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.0,0.25,0.25,0.84,0.92,0.08000000000000007,8,4
J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.02,0.0,-0.02,0.0,0.0,0.0,50,50
J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1003+0458,J1003+0458,GOLD,Yang2025_turn_on,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.6666666666666666,1.0,0.33333333333333337,0.94,0.94,0.0,3,3
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.5,1.0,0.5,0.96,0.98,0.020000000000000018,2,1
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.08,0.76,0.68,0.0,0.0,0.0,50,50
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.04,0.54,0.5,0.0,0.0,0.0,50,50
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.13636363636363635,0.0,-0.13636363636363635,0.56,0.5,-0.06000000000000005,22,25
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.0,0.0,0.0,0.0,0.0,50,50
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.02,0.02,0.0,0.0,0.0,50,50
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.35294117647058826,0.3157894736842105,-0.03715170278637775,0.66,0.62,-0.040000000000000036,17,19
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.06,0.06,0.0,0.0,0.0,50,50
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.08,0.08,0.0,0.0,0.0,50,50
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.05263157894736842,0.09523809523809523,0.042606516290726815,0.62,0.58,-0.040000000000000036,19,21
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,0.0,0.66,0.66,0.0,0.0,0.0,50,50
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,0.0,0.18,0.18,0.0,0.0,0.0,50,50
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,faint_only,SNR_10_MINUS_5,0.36,0.2222222222222222,-0.13777777777777778,0.5,0.28,-0.21999999999999997,25,36
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,YANG2024_FINAL,matched,SNR_10_MINUS_5,0.2222222222222222,0.15625,-0.06597222222222221,0.64,0.36,-0.28,18,32
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,GREEN2022_FINAL,matched,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
J114154.47+063509.6,J114154.47+063509.6,GOLD,Dong2025_SDSS_LAMOST,MACLEOD2019_FINAL,faint_only,SNR_10_MINUS_5,,,,1.0,1.0,0.0,0,0
