transition_id,object_id,reference_tier,source_family,arm,snr,N_both_classifiable,N_agree,N_disagree,disagreement_i,N_YANG_CL_GREEN_NONCL,N_YANG_NONCL_GREEN_CL
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,5,39,20,19,0.48717948717948717,1,18
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,faint_only,10,43,2,41,0.9534883720930233,0,41
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,5,34,22,12,0.35294117647058826,12,0
J075934.95+322143.3,J075934.95+322143.3,GOLD,Zeltyn2024_SDSSV,matched,10,41,21,20,0.4878048780487805,11,9
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,9,3,6,0.6666666666666666,4,2
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,8,3,5,0.625,0,5
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,5,7,4,3,0.42857142857142855,3,0
J080133.29+341737.6,J080133.29+341737.6,GOLD,Zeltyn2024_SDSSV,matched,10,8,5,3,0.375,2,1
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,5,32,24,8,0.25,2,6
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,faint_only,10,31,15,16,0.5161290322580645,0,16
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,5,27,23,4,0.14814814814814814,4,0
J080711.72+194439.7,J080711.72+194439.7,GOLD,Zeltyn2024_SDSSV,matched,10,25,23,2,0.08,1,1
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,5,1,0,1,1.0,0,1
J083716.47+035606.1,J083716.47+035606.1,GOLD,Zeltyn2024_SDSSV,matched,10,4,2,2,0.5,0,2
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,5,27,16,11,0.4074074074074074,1,10
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,faint_only,10,25,1,24,0.96,0,24
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,5,23,21,2,0.08695652173913043,2,0
J085512.13+032950.6,J085512.13+032950.6,GOLD,Zeltyn2024_SDSSV,matched,10,20,6,14,0.7,1,13
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,31,6,25,0.8064516129032258,0,25
J095536.70+103752.4,J095536.70+103752.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,29,19,10,0.3448275862068966,0,10
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,5,13,13,0,0.0,0,0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,faint_only,10,6,5,1,0.16666666666666666,0,1
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,5,8,8,0,0.0,0,0
J1003+0202,J1003+0202,GOLD,Yang2025_turn_on,matched,10,4,3,1,0.25,1,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,5,3,1,2,0.6666666666666666,2,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,faint_only,10,3,0,3,1.0,3,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,5,2,1,1,0.5,1,0
J1009+3539,J1009+3539,GOLD,Yang2025_turn_on,matched,10,1,0,1,1.0,1,0
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,47,34,13,0.2765957446808511,13,0
J101403.44+193609.1,J101403.44+193609.1,GOLD,Dong2025_SDSS_LAMOST,matched,5,47,35,12,0.2553191489361702,12,0
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,10,1,9,0.9,1,8
J101417.87+351106.8,J101417.87+351106.8,GOLD,Dong2025_SDSS_LAMOST,matched,5,9,7,2,0.2222222222222222,2,0
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,20,18,2,0.1,2,0
J104043.38+273518.9,J104043.38+273518.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,18,16,2,0.1111111111111111,2,0
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,32,32,0,0.0,0,0
J104111.56+555142.4,J104111.56+555142.4,GOLD,Dong2025_SDSS_LAMOST,matched,5,22,1,21,0.9545454545454546,21,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,22,19,3,0.13636363636363635,3,0
J104427.75+271806.3,J104427.75+271806.3,GOLD,Dong2025_SDSS_LAMOST,matched,10,25,11,14,0.56,0,14
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,17,11,6,0.35294117647058826,6,0
J105233.83+454949.3,J105233.83+454949.3,GOLD,Dong2025_SDSS_LAMOST,matched,10,19,13,6,0.3157894736842105,6,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,matched,5,19,18,1,0.05263157894736842,1,0
J1110+0804,J1110+0804,GOLD,Yang2025_turn_on,matched,10,21,17,4,0.19047619047619047,2,2
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,25,16,9,0.36,9,0
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,36,15,21,0.5833333333333334,3,18
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,18,14,4,0.2222222222222222,4,0
J112229.65+214815.6,J112229.65+214815.6,GOLD,Dong2025_SDSS_LAMOST,matched,10,32,23,9,0.28125,5,4
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,26,6,20,0.7692307692307693,0,20
J113402.78+290403.9,J113402.78+290403.9,GOLD,Dong2025_SDSS_LAMOST,matched,5,23,18,5,0.21739130434782608,2,3
J114634.92+282642.0,J114634.92+282642.0,GOLD,Dong2025_SDSS_LAMOST,matched,5,16,11,5,0.3125,1,4
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,5,49,0,49,1.0,49,0
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,faint_only,10,40,29,11,0.275,11,0
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,matched,5,43,7,36,0.8372093023255814,36,0
J120635.22+175312.3,J120635.22+175312.3,GOLD,Dong2025_SDSS_LAMOST,matched,10,31,11,20,0.6451612903225806,19,1
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,faint_only,5,2,1,1,0.5,1,0
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,faint_only,10,12,2,10,0.8333333333333334,10,0
J121618.00+515946.1,J121618.00+515946.1,GOLD,Zeltyn2024_SDSSV,matched,5,2,1,1,0.5,1,0
J122355.23+343856.6,J122355.23+343856.6,GOLD,Dong2025_SDSS_LAMOST,matched,5,24,8,16,0.6666666666666666,16,0
