snr,transition_id,object_id,source_family,p_i_faint_only,p_i_matched,delta_p_faint_only_minus_matched,u_i_faint_only,u_i_matched,delta_u_faint_only_minus_matched
5,J075934.95+322143.3,J075934.95+322143.3,Zeltyn2024_SDSSV,0.68,0.0,"arm
    0.68
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64"
5,J080133.29+341737.6,J080133.29+341737.6,Zeltyn2024_SDSSV,0.18,0.0,"arm
    0.18
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64"
5,J080711.72+194439.7,J080711.72+194439.7,Zeltyn2024_SDSSV,0.2,0.0,"arm
    0.2
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64"
5,J083716.47+035606.1,J083716.47+035606.1,Zeltyn2024_SDSSV,1.0,0.98,"arm
    0.02
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64"
5,J084016.42+220624.6,J084016.42+220624.6,Dong2025_SDSS_LAMOST,0.2,0.24,"arm
   -0.04
Name: (J084016.42+220624.6, J084016.42+220624.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J084016.42+220624.6, J084016.42+220624.6, Dong2025_SDSS_LAMOST), dtype: float64"
5,J085512.13+032950.6,J085512.13+032950.6,Zeltyn2024_SDSSV,0.4,0.0,"arm
    0.4
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64"
5,J095536.70+103752.4,J095536.70+103752.4,Dong2025_SDSS_LAMOST,1.0,1.0,"arm
    0.0
Name: (J095536.70+103752.4, J095536.70+103752.4, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J095536.70+103752.4, J095536.70+103752.4, Dong2025_SDSS_LAMOST), dtype: float64"
5,J1003+0202,J1003+0202,Yang2025_turn_on,0.0,0.0,"arm
    0.0
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64"
5,J1003+0458,J1003+0458,Yang2025_turn_on,0.02,0.0,"arm
    0.02
Name: (J1003+0458, J1003+0458, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1003+0458, J1003+0458, Yang2025_turn_on), dtype: float64"
5,J1009+3539,J1009+3539,Yang2025_turn_on,0.0,0.0,"arm
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64"
5,J101403.44+193609.1,J101403.44+193609.1,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J101403.44+193609.1, J101403.44+193609.1, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J101403.44+193609.1, J101403.44+193609.1, Dong2025_SDSS_LAMOST), dtype: float64"
5,J101417.87+351106.8,J101417.87+351106.8,Dong2025_SDSS_LAMOST,0.86,0.0,"arm
    0.86
Name: (J101417.87+351106.8, J101417.87+351106.8, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J101417.87+351106.8, J101417.87+351106.8, Dong2025_SDSS_LAMOST), dtype: float64"
5,J104043.38+273518.9,J104043.38+273518.9,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J104043.38+273518.9, J104043.38+273518.9, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J104043.38+273518.9, J104043.38+273518.9, Dong2025_SDSS_LAMOST), dtype: float64"
5,J104111.56+555142.4,J104111.56+555142.4,Dong2025_SDSS_LAMOST,1.0,0.02,"arm
    0.98
Name: (J104111.56+555142.4, J104111.56+555142.4, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J104111.56+555142.4, J104111.56+555142.4, Dong2025_SDSS_LAMOST), dtype: float64"
5,J104427.75+271806.3,J104427.75+271806.3,Dong2025_SDSS_LAMOST,0.08,0.04,"arm
    0.04
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64"
5,J105233.83+454949.3,J105233.83+454949.3,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64"
5,J1110+0804,J1110+0804,Yang2025_turn_on,0.0,0.0,"arm
    0.0
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64"
5,J112229.65+214815.6,J112229.65+214815.6,Dong2025_SDSS_LAMOST,0.0,0.0,"arm
    0.0
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"arm
    0.0
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64"
