arm,transition_id,object_id,source_family,p_i_5,p_i_10,delta_p_10_minus_5,u_i_5,u_i_10,delta_u_10_minus_5
faint_only,J075934.95+322143.3,J075934.95+322143.3,Zeltyn2024_SDSSV,0.68,1.0,"snr
    0.32
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J075934.95+322143.3, J075934.95+322143.3, Zeltyn2024_SDSSV), dtype: float64"
faint_only,J080133.29+341737.6,J080133.29+341737.6,Zeltyn2024_SDSSV,0.18,0.98,"snr
    0.8
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J080133.29+341737.6, J080133.29+341737.6, Zeltyn2024_SDSSV), dtype: float64"
faint_only,J080711.72+194439.7,J080711.72+194439.7,Zeltyn2024_SDSSV,0.2,0.48,"snr
    0.28
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J080711.72+194439.7, J080711.72+194439.7, Zeltyn2024_SDSSV), dtype: float64"
faint_only,J083716.47+035606.1,J083716.47+035606.1,Zeltyn2024_SDSSV,1.0,1.0,"snr
    0.0
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J083716.47+035606.1, J083716.47+035606.1, Zeltyn2024_SDSSV), dtype: float64"
faint_only,J085512.13+032950.6,J085512.13+032950.6,Zeltyn2024_SDSSV,0.4,1.0,"snr
    0.6
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J085512.13+032950.6, J085512.13+032950.6, Zeltyn2024_SDSSV), dtype: float64"
faint_only,J1003+0202,J1003+0202,Yang2025_turn_on,0.0,0.02,"snr
    0.02
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1003+0202, J1003+0202, Yang2025_turn_on), dtype: float64"
faint_only,J1003+0458,J1003+0458,Yang2025_turn_on,0.02,0.0,"snr
   -0.02
Name: (J1003+0458, J1003+0458, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1003+0458, J1003+0458, Yang2025_turn_on), dtype: float64"
faint_only,J1009+3539,J1009+3539,Yang2025_turn_on,0.0,0.0,"snr
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1009+3539, J1009+3539, Yang2025_turn_on), dtype: float64"
faint_only,J104427.75+271806.3,J104427.75+271806.3,Dong2025_SDSS_LAMOST,0.08,0.76,"snr
    0.68
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J104427.75+271806.3, J104427.75+271806.3, Dong2025_SDSS_LAMOST), dtype: float64"
faint_only,J105233.83+454949.3,J105233.83+454949.3,Dong2025_SDSS_LAMOST,0.0,0.0,"snr
    0.0
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J105233.83+454949.3, J105233.83+454949.3, Dong2025_SDSS_LAMOST), dtype: float64"
faint_only,J1110+0804,J1110+0804,Yang2025_turn_on,0.0,0.06,"snr
    0.06
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J1110+0804, J1110+0804, Yang2025_turn_on), dtype: float64"
faint_only,J112229.65+214815.6,J112229.65+214815.6,Dong2025_SDSS_LAMOST,0.0,0.66,"snr
    0.66
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64",0.0,0.0,"snr
    0.0
Name: (J112229.65+214815.6, J112229.65+214815.6, Dong2025_SDSS_LAMOST), dtype: float64"
