analysis,arm,omitted_unit,N_paired,mean_delta_p_10_minus_5,attenuation_from_primary
PRIMARY_GOLD,faint_only,,27,0.2896296296296296,
GOLD_PLUS_SILVER,faint_only,,31,0.2941935483870968,
DISCOVERY_INDEPENDENT_GREEN,faint_only,,25,0.29760000000000003,
EQUAL_SOURCE_FAMILY_WEIGHTED,faint_only,,27,0.18011904761904762,
LEAVE_ONE_TRANSITION_OUT,faint_only,J075934.95+322143.3,26,0.28846153846153844,
LEAVE_ONE_TRANSITION_OUT,faint_only,J080133.29+341737.6,26,0.26999999999999996,
LEAVE_ONE_TRANSITION_OUT,faint_only,J080711.72+194439.7,26,0.29000000000000004,
LEAVE_ONE_TRANSITION_OUT,faint_only,J083716.47+035606.1,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,J085512.13+032950.6,26,0.27769230769230774,
LEAVE_ONE_TRANSITION_OUT,faint_only,J1003+0202,26,0.3,
LEAVE_ONE_TRANSITION_OUT,faint_only,J1003+0458,26,0.30153846153846153,
LEAVE_ONE_TRANSITION_OUT,faint_only,J1009+3539,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,J104427.75+271806.3,26,0.2746153846153846,
LEAVE_ONE_TRANSITION_OUT,faint_only,J105233.83+454949.3,26,0.30076923076923073,
LEAVE_ONE_TRANSITION_OUT,faint_only,J1110+0804,26,0.29846153846153844,
LEAVE_ONE_TRANSITION_OUT,faint_only,J112229.65+214815.6,26,0.27538461538461534,
LEAVE_ONE_TRANSITION_OUT,faint_only,J120635.22+175312.3,26,0.2746153846153846,
LEAVE_ONE_TRANSITION_OUT,faint_only,J121618.00+515946.1,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,J122355.23+343856.6,26,0.2992307692307692,
LEAVE_ONE_TRANSITION_OUT,faint_only,J131432.70+122718.5,26,0.3,
LEAVE_ONE_TRANSITION_OUT,faint_only,J133551.98+544450.1,26,0.26692307692307693,
LEAVE_ONE_TRANSITION_OUT,faint_only,J135255.68+252859.6,26,0.27076923076923076,
LEAVE_ONE_TRANSITION_OUT,faint_only,J140515.59+542458.0,26,0.2676923076923077,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ000236.25-002724.8,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ012648.08-083948.0,26,0.28923076923076924,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ015957.64+003310.4,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ021359.79+004226.81,26,0.29615384615384616,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ082942.66+415436.8,26,0.2823076923076923,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ101152.98+544206.4,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ102152.34+464515.6,26,0.3007692307692308,
LEAVE_ONE_TRANSITION_OUT,faint_only,SDSSJ105325.40+302419.34,26,0.2907692307692308,
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Dong2025_SDSS_LAMOST,19,0.21473684210526317,0.07489278752436646
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Green2022,25,0.29760000000000003,-0.007970370370370405
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,LaMassa2015,26,0.3007692307692308,-0.011139601139601163
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,MacLeod2016,26,0.3007692307692308,-0.011139601139601163
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Potts2021,25,0.29359999999999997,-0.003970370370370346
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Ruan2016,26,0.28923076923076924,0.00039886039886039004
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Runnoe2016,26,0.3007692307692308,-0.011139601139601163
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Yang2025_turn_on,23,0.3373913043478261,-0.04776167471819648
LEAVE_ONE_SOURCE_FAMILY_OUT,faint_only,Zeltyn2024_SDSSV,20,0.24799999999999994,0.04162962962962968
PRIMARY_GOLD,matched,,25,0.2592,
GOLD_PLUS_SILVER,matched,,29,0.2675862068965517,
DISCOVERY_INDEPENDENT_GREEN,matched,,23,0.24000000000000002,
EQUAL_SOURCE_FAMILY_WEIGHTED,matched,,25,0.3031481481481481,
LEAVE_ONE_TRANSITION_OUT,matched,J075934.95+322143.3,24,0.25833333333333336,
LEAVE_ONE_TRANSITION_OUT,matched,J080133.29+341737.6,24,0.26166666666666666,
LEAVE_ONE_TRANSITION_OUT,matched,J080711.72+194439.7,24,0.2683333333333333,
LEAVE_ONE_TRANSITION_OUT,matched,J083716.47+035606.1,24,0.26999999999999996,
LEAVE_ONE_TRANSITION_OUT,matched,J085512.13+032950.6,24,0.24083333333333332,
LEAVE_ONE_TRANSITION_OUT,matched,J1003+0202,24,0.27,
LEAVE_ONE_TRANSITION_OUT,matched,J1009+3539,24,0.27,
LEAVE_ONE_TRANSITION_OUT,matched,J104427.75+271806.3,24,0.24916666666666668,
LEAVE_ONE_TRANSITION_OUT,matched,J105233.83+454949.3,24,0.2691666666666666,
LEAVE_ONE_TRANSITION_OUT,matched,J1110+0804,24,0.26666666666666666,
LEAVE_ONE_TRANSITION_OUT,matched,J112229.65+214815.6,24,0.26249999999999996,
LEAVE_ONE_TRANSITION_OUT,matched,J120635.22+175312.3,24,0.25499999999999995,
LEAVE_ONE_TRANSITION_OUT,matched,J122355.23+343856.6,24,0.26999999999999996,
LEAVE_ONE_TRANSITION_OUT,matched,J131432.70+122718.5,24,0.2675,
LEAVE_ONE_TRANSITION_OUT,matched,J133551.98+544450.1,24,0.25166666666666665,
LEAVE_ONE_TRANSITION_OUT,matched,J135255.68+252859.6,24,0.23666666666666666,
LEAVE_ONE_TRANSITION_OUT,matched,J140515.59+542458.0,24,0.26916666666666667,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ000236.25-002724.8,24,0.2725,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ012648.08-083948.0,24,0.26166666666666666,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ015957.64+003310.4,24,0.23916666666666667,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ021359.79+004226.81,24,0.27,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ082942.66+415436.8,24,0.2575,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ101152.98+544206.4,24,0.27,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ102152.34+464515.6,24,0.24250000000000002,
LEAVE_ONE_TRANSITION_OUT,matched,SDSSJ105325.40+302419.34,24,0.22999999999999998,
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Dong2025_SDSS_LAMOST,17,0.2423529411764706,0.01684705882352938
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Green2022,23,0.24000000000000002,0.019199999999999967
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,LaMassa2015,24,0.23916666666666667,0.02003333333333332
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,MacLeod2016,24,0.24250000000000002,0.016699999999999965
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Potts2021,23,0.271304347826087,-0.012104347826086992
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Ruan2016,24,0.26166666666666666,-0.0024666666666666726
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Runnoe2016,24,0.27,-0.010800000000000032
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Yang2025_turn_on,22,0.29090909090909095,-0.031709090909090965
LEAVE_ONE_SOURCE_FAMILY_OUT,matched,Zeltyn2024_SDSSV,19,0.2757894736842105,-0.016589473684210487
