reference_tier,arm,snr,failure_category,N
GOLD,faint_only,5,degraded_fit_boundary_failure,777
GOLD,faint_only,5,inapplicable_by_design,500
GOLD,faint_only,5,local_fit_invalidity,126
GOLD,faint_only,5,measurement_unavailable,4
GOLD,faint_only,5,native_boundary_failure,350
GOLD,faint_only,10,degraded_fit_boundary_failure,456
GOLD,faint_only,10,inapplicable_by_design,300
GOLD,faint_only,10,local_fit_invalidity,121
GOLD,faint_only,10,measurement_unavailable,1
GOLD,faint_only,10,native_boundary_failure,200
GOLD,matched,5,degraded_fit_boundary_failure,1150
GOLD,matched,5,inapplicable_by_design,350
GOLD,matched,5,local_fit_invalidity,124
GOLD,matched,5,measurement_unavailable,8
GOLD,matched,10,degraded_fit_boundary_failure,648
GOLD,matched,10,inapplicable_by_design,150
GOLD,matched,10,local_fit_invalidity,104
GOLD,matched,10,measurement_unavailable,6
SILVER,faint_only,5,degraded_fit_boundary_failure,69
SILVER,faint_only,5,local_fit_invalidity,5
SILVER,faint_only,10,degraded_fit_boundary_failure,79
SILVER,faint_only,10,local_fit_invalidity,3
SILVER,faint_only,10,measurement_unavailable,1
SILVER,matched,5,degraded_fit_boundary_failure,108
SILVER,matched,5,local_fit_invalidity,9
SILVER,matched,10,degraded_fit_boundary_failure,100
SILVER,matched,10,local_fit_invalidity,6
SILVER,matched,10,measurement_unavailable,1
